contractId;ticketDate
4361-BKAXE;2024-01-04
4361-BKAXE;2024-01-03
4361-BKAXE;2023-09-18
4361-BKAXE;2024-01-13
4441-NIHPT;2023-03-15
8999-BOHSE;2023-11-07
7029-RPUAV;2023-06-12
9036-CSKBW;2023-05-15
4607-CHPCA;2023-06-25
3312-UUMZW;2022-11-10
3312-UUMZW;2023-07-10
8111-SLLHI;2022-12-27
8111-SLLHI;2022-11-22
8111-SLLHI;2022-12-12
5293-WXJAK;2022-09-06
0831-JNISG;2021-09-26
0831-JNISG;2021-04-25
0831-JNISG;2020-11-07
8844-TONUD;2022-07-23
5334-JLAXU;2019-10-30
5334-JLAXU;2020-03-24
5334-JLAXU;2023-05-24
5334-JLAXU;2020-03-21
5334-JLAXU;2021-08-01
0135-NMXAP;2023-07-29
6270-OMFIW;2022-06-23
6270-OMFIW;2022-06-23
6270-OMFIW;2022-06-23
6270-OMFIW;2022-06-23
6270-OMFIW;2022-06-23
6270-OMFIW;2022-06-23
6270-OMFIW;2022-06-23
0125-LZQXK;2023-02-16
8399-YNDCH;2023-02-01
8399-YNDCH;2023-05-08
0887-WBJVH;2021-06-02
0887-WBJVH;2023-02-18
0887-WBJVH;2023-03-17
4468-KAZHE;2023-11-28
0455-ENTCR;2023-03-16
0455-ENTCR;2020-01-19
3927-NLNRY;2022-06-23
3927-NLNRY;2022-03-15
3927-NLNRY;2022-03-29
3927-NLNRY;2022-03-22
3927-NLNRY;2022-07-27
7979-CORPM;2022-10-25
7979-CORPM;2022-10-25
7979-CORPM;2022-10-25
6581-NQCBA;2022-11-26
8496-DMZUK;2023-02-02
8496-DMZUK;2023-02-25
2226-ICFDO;2023-08-17
2226-ICFDO;2020-05-11
2226-ICFDO;2024-01-27
2226-ICFDO;2020-02-19
4187-CINZD;2022-03-30
4187-CINZD;2022-04-17
4187-CINZD;2021-10-25
4187-CINZD;2022-04-26
4187-CINZD;2022-04-16
4187-CINZD;2021-12-23
6818-WOBHJ;2021-11-22
6818-WOBHJ;2021-10-27
6818-WOBHJ;2022-03-18
6818-WOBHJ;2022-04-26
6818-WOBHJ;2021-10-23
6818-WOBHJ;2021-10-09
6244-BESBM;2019-08-07
6244-BESBM;2019-08-13
6244-BESBM;2021-05-06
6244-BESBM;2022-09-25
6244-BESBM;2022-08-19
2408-TZMJL;2023-08-06
2408-TZMJL;2023-03-31
2408-TZMJL;2022-12-13
2408-TZMJL;2023-02-06
2408-TZMJL;2023-01-17
2408-TZMJL;2022-12-22
9531-NSBMR;2021-07-05
9531-NSBMR;2021-06-07
8711-LOBKY;2019-07-16
9134-CEQMF;2022-10-05
9134-CEQMF;2022-08-09
9795-SHUHB;2018-10-08
9795-SHUHB;2020-11-27
9795-SHUHB;2023-09-05
9795-SHUHB;2020-04-07
9795-SHUHB;2022-03-21
9795-SHUHB;2020-01-21
0201-OAMXR;2022-12-13
0201-OAMXR;2023-02-18
0201-OAMXR;2023-05-07
0201-OAMXR;2023-01-17
0201-OAMXR;2023-03-31
0201-OAMXR;2022-09-11
6393-WRYZE;2023-11-09
6393-WRYZE;2023-05-21
6393-WRYZE;2023-09-29
6599-RCLCJ;2023-04-30
6599-RCLCJ;2023-04-06
6599-RCLCJ;2022-08-02
6599-RCLCJ;2022-09-28
9831-BPFRI;2023-05-29
4791-QRGMF;2023-03-13
4791-QRGMF;2022-10-16
4791-QRGMF;2022-07-13
4791-QRGMF;2022-12-08
4791-QRGMF;2022-06-28
3910-MRQOY;2020-12-06
3838-OZURD;2022-06-07
3838-OZURD;2022-07-23
3838-OZURD;2022-08-27
3838-OZURD;2022-06-11
3838-OZURD;2022-03-14
3838-OZURD;2022-03-28
2845-HSJCY;2022-08-01
2845-HSJCY;2022-08-18
7721-JXEAW;2021-09-28
7721-JXEAW;2022-06-02
7721-JXEAW;2021-12-28
7721-JXEAW;2021-07-28
7684-XSZIY;2019-03-13
7684-XSZIY;2022-06-23
7684-XSZIY;2020-09-08
7684-XSZIY;2021-03-18
7684-XSZIY;2021-07-11
8621-MNIHH;2022-02-02
8621-MNIHH;2022-10-23
0471-LVHGK;2023-04-07
0471-LVHGK;2023-01-19
0471-LVHGK;2023-01-23
0471-LVHGK;2023-04-08
9518-RWHZL;2023-06-27
9518-RWHZL;2023-06-08
9518-RWHZL;2023-04-17
9518-RWHZL;2023-06-19
9518-RWHZL;2023-04-10
9518-RWHZL;2023-06-27
9518-RWHZL;2023-04-16
9518-RWHZL;2023-03-30
5977-CKHON;2022-02-22
5977-CKHON;2021-09-08
7861-UVUFT;2022-04-21
7861-UVUFT;2022-06-22
7861-UVUFT;2022-04-28
1571-SAVHK;2022-06-14
3253-HKOKL;2022-03-18
3253-HKOKL;2021-02-09
3253-HKOKL;2022-04-01
3253-HKOKL;2021-04-20
6890-PFRQX;2023-08-29
1621-YNCJH;2022-11-24
1621-YNCJH;2022-07-02
3473-XIIIT;2023-07-27
3473-XIIIT;2023-05-28
2952-QAYZF;2022-02-14
5394-SVGJV;2023-06-20
7079-QRCBC;2024-02-22
7079-QRCBC;2024-02-22
7079-QRCBC;2024-02-22
9495-SKLKD;2024-01-15
9495-SKLKD;2023-07-19
9495-SKLKD;2023-09-21
5469-CTCWN;2022-03-01
5469-CTCWN;2022-03-13
5469-CTCWN;2022-03-16
5469-CTCWN;2022-03-15
5469-CTCWN;2022-03-04
5469-CTCWN;2022-03-11
9851-QXEEQ;2023-01-07
9851-QXEEQ;2023-01-12
9851-QXEEQ;2023-04-29
9851-QXEEQ;2023-05-05
9809-IMGCQ;2021-11-23
9809-IMGCQ;2022-01-06
3254-YRILK;2022-10-26
4472-VESGY;2020-08-06
5766-XQXMQ;2023-06-22
5766-XQXMQ;2023-06-14
5766-XQXMQ;2023-08-14
2886-KEFUM;2023-10-15
2886-KEFUM;2023-10-09
2886-KEFUM;2023-10-08
2886-KEFUM;2023-10-31
2886-KEFUM;2023-09-04
2886-KEFUM;2023-08-20
9651-GTSAQ;2022-10-19
9651-GTSAQ;2022-09-01
9651-GTSAQ;2022-12-12
9651-GTSAQ;2022-09-19
9651-GTSAQ;2022-11-09
0637-YLETY;2023-08-19
2660-EMUBI;2023-02-17
2003-CKLOR;2023-07-20
2003-CKLOR;2023-11-24
2003-CKLOR;2023-11-12
2003-CKLOR;2023-08-25
2003-CKLOR;2023-10-04
2003-CKLOR;2023-09-02
2003-CKLOR;2023-12-29
2003-CKLOR;2023-07-26
9254-RBFON;2023-01-30
5127-BZENZ;2022-04-02
5127-BZENZ;2020-04-30
6032-KRXXO;2022-12-07
6032-KRXXO;2022-08-25
6032-KRXXO;2022-08-23
7459-RRWQZ;2022-08-10
4154-AQUGT;2024-01-13
3584-WKTTW;2022-06-23
3584-WKTTW;2021-02-22
3584-WKTTW;2020-03-30
3584-WKTTW;2020-11-17
3092-IGHWF;2023-09-01
3092-IGHWF;2023-06-26
3092-IGHWF;2023-10-19
3092-IGHWF;2023-06-23
3092-IGHWF;2023-05-22
3092-IGHWF;2023-05-19
6518-PPLMZ;2022-12-23
6518-PPLMZ;2021-03-23
6518-PPLMZ;2023-07-05
8017-LXHFA;2022-04-12
8017-LXHFA;2021-12-27
6035-RIIOM;2023-04-03
6035-RIIOM;2022-06-17
6035-RIIOM;2023-12-15
2929-QNSRW;2022-11-28
2929-QNSRW;2022-10-16
2929-QNSRW;2023-01-24
2929-QNSRW;2022-12-28
2929-QNSRW;2022-10-01
3533-UVMOM;2023-03-30
3533-UVMOM;2019-05-23
3533-UVMOM;2019-08-30
3533-UVMOM;2022-11-11
3533-UVMOM;2022-05-28
3533-UVMOM;2021-07-03
4248-QPAVC;2022-03-26
1899-VXWXM;2022-07-26
1899-VXWXM;2022-07-26
1899-VXWXM;2022-07-26
1899-VXWXM;2022-07-26
1498-DQNRX;2022-02-06
1498-DQNRX;2022-12-06
3331-HQDTW;2021-08-09
3331-HQDTW;2022-04-04
3331-HQDTW;2022-01-13
1228-FZFRV;2023-08-17
1228-FZFRV;2023-08-25
1228-FZFRV;2023-08-24
1228-FZFRV;2023-08-02
1228-FZFRV;2023-09-01
5364-XYIRR;2022-06-26
5364-XYIRR;2022-04-26
5364-XYIRR;2022-05-07
5364-XYIRR;2022-05-27
4829-AUOAX;2023-04-14
4829-AUOAX;2023-07-22
4829-AUOAX;2023-04-29
4829-AUOAX;2023-03-07
9158-VCTQB;2023-10-07
9158-VCTQB;2023-10-23
9158-VCTQB;2023-09-29
9158-VCTQB;2023-08-16
9158-VCTQB;2023-10-12
9158-VCTQB;2023-09-14
2808-CHTDM;2023-08-15
8917-SZTTJ;2020-02-22
8917-SZTTJ;2021-03-01
8917-SZTTJ;2020-12-08
6097-EQISJ;2022-11-04
6097-EQISJ;2022-11-09
6097-EQISJ;2022-12-04
6097-EQISJ;2022-09-29
6097-EQISJ;2022-09-19
6097-EQISJ;2022-09-22
4423-YLHDV;2022-05-27
4423-YLHDV;2021-12-19
0107-YHINA;2024-02-14
9705-IOVQQ;2022-03-08
9705-IOVQQ;2019-04-02
9705-IOVQQ;2021-07-25
9705-IOVQQ;2020-09-05
9705-IOVQQ;2023-11-17
1803-BGNBD;2024-02-29
6950-TWMYB;2023-10-17
6950-TWMYB;2020-11-29
5356-KZCKT;2023-01-18
5356-KZCKT;2020-01-27
5356-KZCKT;2021-03-26
3055-VTCGS;2020-09-16
3144-KMTWZ;2019-03-05
3144-KMTWZ;2022-05-06
3144-KMTWZ;2022-06-05
3144-KMTWZ;2023-05-04
3144-KMTWZ;2018-11-27
7279-BUYWN;2023-10-14
7279-BUYWN;2023-10-16
7279-BUYWN;2023-10-26
7530-HDYDS;2023-07-13
7530-HDYDS;2023-08-29
7530-HDYDS;2023-07-29
5922-ABDVO;2022-10-18
9172-ANCRX;2023-02-22
4450-MDZFX;2023-10-04
6701-DHKWQ;2024-01-04
6701-DHKWQ;2020-04-16
6701-DHKWQ;2020-05-23
6701-DHKWQ;2023-06-11
6701-DHKWQ;2021-07-25
3132-TVFDZ;2021-12-09
3132-TVFDZ;2021-12-05
3132-TVFDZ;2021-09-19
3132-TVFDZ;2022-02-25
6365-MTGZX;2022-07-16
6365-MTGZX;2022-07-16
6990-YNRIO;2023-10-15
6990-YNRIO;2023-09-23
6990-YNRIO;2023-12-18
6990-YNRIO;2023-11-27
6990-YNRIO;2023-12-20
6990-YNRIO;2024-01-21
4510-PYUSH;2022-11-20
4510-PYUSH;2022-12-23
4510-PYUSH;2022-12-09
4143-HHPMK;2022-10-12
4143-HHPMK;2022-07-11
4143-HHPMK;2022-10-23
4143-HHPMK;2022-07-11
4143-HHPMK;2022-07-10
7940-UQQUG;2021-07-14
7940-UQQUG;2020-11-06
7010-BRBUU;2020-02-21
7010-BRBUU;2023-10-10
7010-BRBUU;2022-12-01
7010-BRBUU;2021-01-23
7010-BRBUU;2022-01-27
7010-BRBUU;2023-12-18
3946-JEWRQ;2022-06-30
3946-JEWRQ;2021-12-04
3946-JEWRQ;2023-06-05
3946-JEWRQ;2021-10-15
8840-DQLGN;2022-05-08
8840-DQLGN;2022-01-12
8840-DQLGN;2021-11-20
7217-JYHOQ;2023-05-27
7459-IMVYU;2022-05-05
7459-IMVYU;2022-07-12
3143-ILDAL;2022-12-17
3143-ILDAL;2023-04-21
3143-ILDAL;2023-03-20
3143-ILDAL;2023-06-23
3143-ILDAL;2023-03-28
4720-VSTSI;2023-07-23
4720-VSTSI;2023-11-08
4720-VSTSI;2023-07-09
4720-VSTSI;2024-01-04
7696-CFTAT;2021-05-05
7696-CFTAT;2022-07-03
6651-AZVTJ;2022-09-11
6651-AZVTJ;2022-08-30
4566-GOLUK;2023-10-15
4566-GOLUK;2023-05-21
4566-GOLUK;2023-08-20
4566-GOLUK;2023-10-23
4566-GOLUK;2024-02-08
8229-BUJHX;2021-08-09
8229-BUJHX;2020-11-29
8229-BUJHX;2022-11-10
8229-BUJHX;2020-05-09
9614-RMGHA;2022-08-16
9614-RMGHA;2022-08-23
9614-RMGHA;2022-07-23
9614-RMGHA;2022-08-11
9614-RMGHA;2022-06-23
9614-RMGHA;2022-05-05
9614-RMGHA;2022-06-11
9614-RMGHA;2022-07-09
2430-RRYUW;2019-11-04
2430-RRYUW;2020-02-21
2430-RRYUW;2021-12-17
2430-RRYUW;2023-06-23
0565-IYCGT;2022-11-02
0565-IYCGT;2023-01-12
0565-IYCGT;2023-03-23
0565-IYCGT;2023-02-11
0565-IYCGT;2023-05-11
5110-CHOPY;2021-10-15
5110-CHOPY;2020-11-01
4703-MQYKT;2023-03-05
9497-QCMMS;2023-12-06
0348-SDKOL;2023-09-03
0348-SDKOL;2023-07-31
0348-SDKOL;2023-07-14
0348-SDKOL;2023-07-23
0348-SDKOL;2023-07-28
0348-SDKOL;2023-05-11
4373-MAVJG;2022-11-28
3424-NMNBO;2022-07-31
3424-NMNBO;2023-03-06
3424-NMNBO;2022-06-29
3424-NMNBO;2022-11-21
3424-NMNBO;2022-10-10
3424-NMNBO;2023-01-03
1447-PJGGA;2022-10-06
1447-PJGGA;2022-03-30
1447-PJGGA;2022-12-04
1447-PJGGA;2022-06-13
1447-PJGGA;2022-05-29
8565-CLBZW;2023-08-03
8565-CLBZW;2023-08-03
8565-CLBZW;2023-08-03
9139-WQQDY;2022-04-17
9139-WQQDY;2022-04-25
9139-WQQDY;2022-05-08
9139-WQQDY;2022-05-16
6845-RGTYS;2023-05-29
6845-RGTYS;2023-03-11
6845-RGTYS;2023-02-28
6845-RGTYS;2022-11-24
6845-RGTYS;2023-02-08
6845-RGTYS;2022-11-17
7694-VLBWQ;2022-04-06
7694-VLBWQ;2022-05-27
7694-VLBWQ;2022-10-02
7694-VLBWQ;2022-09-09
7694-VLBWQ;2022-10-28
7694-VLBWQ;2022-06-21
6481-OGDOO;2022-08-01
6481-OGDOO;2022-08-23
6481-OGDOO;2022-10-23
6481-OGDOO;2022-09-04
6481-OGDOO;2022-06-12
6481-OGDOO;2022-09-19
6481-OGDOO;2022-09-12
3753-TSEMP;2022-06-27
9172-JITSM;2023-02-23
9172-JITSM;2023-02-16
6298-QDFNH;2023-03-11
7519-JTWQH;2022-03-12
7519-JTWQH;2019-09-09
7519-JTWQH;2022-08-27
7519-JTWQH;2020-11-15
9961-JBNMK;2022-02-01
9961-JBNMK;2021-09-21
2038-LLMLM;2021-02-04
2038-LLMLM;2021-02-13
2038-LLMLM;2021-05-12
2038-LLMLM;2021-06-15
6173-ITPWD;2022-03-08
6173-ITPWD;2022-03-28
6173-ITPWD;2022-04-12
6173-ITPWD;2022-05-13
2189-UXTKY;2022-07-26
2189-UXTKY;2022-03-27
2189-UXTKY;2022-02-09
7483-IQWIB;2021-12-30
7483-IQWIB;2023-01-21
8624-GIOUT;2022-04-24
8624-GIOUT;2022-04-04
8624-GIOUT;2022-04-18
8624-GIOUT;2022-04-17
8624-GIOUT;2022-04-05
6179-GJPSO;2023-05-18
6179-GJPSO;2023-05-17
6179-GJPSO;2023-05-14
