LocalCode:42;Name;state;city;zip_code;latitude;longitude;OfficeAddress;id;FoundingDate;closedDate;acquiredDate;object_id;BusinessField;NumContributors;NumPartners
65;Vitrue;GA;Atlanta;30303;33.756806;-84.392198;;c:1234;01.05.2006;;03.10.2019;c:1234;enterprise;3;26
139;Trendslide;NH;Manchester;3101;42.99564;-71.454789;Manchester NH 3101;c:149809;01.08.2011;;12.05.2016;c:149809;mobile;1;9
98;PublicEarth;CA;Menlo Park;94025;40.0157332;-105.275027;;c:13733;01.01.2008;12.06.2019;;c:13733;travel;1;7
681;Azaleos;WA;Seattle;98102;47.63609;-122.327028;;c:39106;11.05.2004;;06.02.2015;c:39106;enterprise;2;10
884;Efficient Frontier;CA;Sunnyvale;94089;37.4049731;-122.0323525;;c:5306;01.01.2002;;11.12.2015;c:5306;advertising;3;25
207;NetDevices;CA;Sunnyvale;94085;37.36883;-122.03635;Sunnyvale CA 94085;c:16303;01.01.2003;;07.01.2019;c:16303;software;5;4
747;Go Try It On;NY;New York;100011;40.730646;-73.986614;New York NY 100011;c:43188;01.12.2009;;05.11.2016;c:43188;fashion;2;2
593;Performable;MA;Cambridge;2139;42.3751;-71.105616;Cambridge MA 2139;c:33507;17.10.2009;;26.03.2015;c:33507;software;1;9
1010;Appstores.com;CA;San Francisco;94607;37.779281;-122.419236;San Francisco CA 94607;c:68157;24.05.2010;;20.07.2015;c:68157;software;9.5;6
403;Fortify Software;CA;San Mateo;94404;37.560781;-122.284114;;c:2395;01.10.2002;;08.01.2019;c:2395;software;2;11
666;iCurrent;CA;South San Francisco;94080;37.658313;-122.391032;South San Francisco CA 94080;c:38220;01.01.2006;;12.08.2018;c:38220;web;1;5
847;AisleBuyer;MA;Boston;2210;42.360253;-71.058291;Boston MA 2210;c:49815;01.01.2009;;03.03.2015;c:49815;mobile;1;4
421;Indeed;TX;Austin;78731;30.321464;-97.75501;Austin TX 78731;c:249;01.11.2004;;24.07.2016;c:249;web;3;12
364;Colubris Networks;MA;Waltham;2451;42.37564;-71.2358;Waltham MA 2451;c:22027;01.01.2000;;20.05.2019;c:22027;public_relations;5;9
31;Mashery;CA;San Francisco;94103;37.7870842;-122.4038047;;c:109;01.05.2006;;21.07.2016;c:109;enterprise;5;37
768;Transparency Software;CA;Palo Alto;94301;37.441537;-122.158332;Palo Alto CA 94301;c:43948;01.01.2004;15.07.2018;;c:43948;software;1;0
1059;Viewdle;CA;Palo Alto;95128;37.445586;-122.161929;Palo Alto CA 95128;c:765;01.01.2006;;03.06.2015;c:765;analytics;2;13
320;Enclarity;CA;Aliso Viejo;92656;33.5842816;-117.7306817;;c:19257;01.02.2005;;04.08.2019;c:19257;consulting;2;18
445;Virsto Software;CA;Sunnyvale;94089;37.402773;-122.052551;;c:25827;01.07.2007;;28.08.2017;c:25827;software;3.3333;10
950;Handmark;MO;Kansas City;64106;39.103151;-94.581908;;c:5932;01.07.2000;;05.03.2015;c:5932;mobile;4.5;6
617;Viacor;MA;Wilmington;1887;42.546483;-71.173667;Wilmington MA 1887;c:35157;01.12.1999;18.07.2016;;c:35157;biotech;2;10
1112;Carbonetworks;CA;San Francisco;94111;37.805289;-122.404448;;c:8596;01.01.2005;05.11.2015;;c:8596;cleantech;1;6
332;SchemaLogic;WA;Kirkland;;47.675489;-122.191667;Kirkland WA 98033-6314;c:19861;01.01.2001;;18.02.2017;c:19861;enterprise;3;2
787;Skyway Software;FL;Tampa;33609;27.951849;-82.456397;Tampa FL 33609;c:45114;01.01.2001;14.08.2017;;c:45114;software;1;0
396;CardStar;MA;Boston;;42.360253;-71.058291;Boston MA 02111-1720;c:23533;01.12.2008;;19.11.2019;c:23533;software;3;5
431;Makani Power;CA;Alameda;94501;37.7831775;-122.3086191;;c:25325;01.01.2006;;29.09.2018;c:25325;cleantech;1;4
1101;Myrio;WA;Bothell;98011;47.765758;-122.184304;;c:8351;01.12.1999;07.01.2019;;c:8351;software;1;5
13;Intela;CO;Boulder;80302;40.730646;-73.986614;;c:10392;02.02.2006;;25.09.2019;c:10392;advertising;2;4
452;Sana Security;CA;San Mateo;;37.54763;-122.307887;;c:26128;01.01.2000;;21.06.2019;c:26128;security;2;7
492;Sportgenic;CA;San Francisco;94104;37.790485;-122.40094;;c:2808;01.09.2005;;20.05.2018;c:2808;advertising;3.3333;9
20;Lolapps;CA;San Francisco;94105;37.7870923;-122.3999719;;c:10581;01.01.2008;;17.10.2018;c:10581;web;3;15
315;Behavio;CA;Sunnyvale;94087;37.3492097;-122.0326019;;c:190214;12.06.2012;;08.10.2016;c:190214;software;1;3
231;Infinity Box;FL;Tampa;33626;28.098905;-82.400087;;c:1674;01.01.2006;;14.07.2017;c:1674;web;1.5;10
245;adBrite;CA;San Francisco;94103;37.779026;-122.40184;;c:170;01.01.2003;;06.01.2019;c:170;advertising;1.6667;17
484;Texert;TX;Dallas;75001;32.9583632;-96.8215658;;c:27740;01.01.2007;25.03.2018;;c:27740;software;1;1
810;Mendocino Software;CA;Fremont;94538;37.54827;-121.988572;Fremont CA 94538;c:46186;01.01.2003;27.08.2015;;c:46186;software;4;2
744;QuikCycle;CA;Santa Clara;95051;37.354469;-121.990433;Santa Clara CA 95051;c:43162;01.01.1998;15.05.2016;;c:43162;software;1;0
748;Instagram;CA;San Francisco;94107;37.779281;-122.419236;San Francisco CA 94107;c:43233;01.03.2010;;12.09.2019;c:43233;photo_video;4;12
138;Motionbox;NY;New York;10004;40.606061;-73.822331;;c:1498;01.01.2006;;28.04.2019;c:1498;games_video;2.6667;10
555;AccelGolf;MA;Cambridge;2138;42.3751;-71.105616;Cambridge MA 2138;c:31514;01.08.2008;15.09.2017;;c:31514;mobile;1;4
943;MoPub;CA;San Francisco;94105;37.779281;-122.419236;San Francisco CA 94105;c:58944;09.09.2010;;29.05.2017;c:58944;mobile;2.25;11
703;DNP Green Technology;NJ;Princeton;8540;40.349274;-74.659296;Princeton NJ 8540;c:40197;01.01.2008;09.04.2015;;c:40197;cleantech;6;2
863;Abound Solar;CO;Loveland;80538;40.397761;-105.07498;Loveland CO 80538;c:51023;01.01.2007;26.04.2019;;c:51023;cleantech;1;5
85;Trovix;CA;Mountain View;94043;37.420428;-122.090769;;c:13168;01.01.2002;;04.03.2017;c:13168;search;2.5;3
995;Thumbplay;NY;New York;10012;40.725435;-73.997395;;c:649;01.09.2004;;31.05.2019;c:649;music;4;13
883;Plethora Technology;WV;Kearneysville;25430;39.388156;-77.885552;Kearneysville WV 25430;c:52694;01.01.2000;17.12.2015;;c:52694;software;3;1
541;DailyStrength;CA;Los Angeles;90025;34.043948;-118.468204;;c:3080;01.04.2006;;28.12.2014;c:3080;web;1;7
501;Danotek Motion Technologies;MI;Canton;48187;42.350749;-83.444589;;c:28424;01.01.2001;09.06.2017;;c:28424;cleantech;3.6667;2
491;Yub;CA;Mountain View;94041;37.388869;-122.072353;Mountain View CA 94041;c:280611;01.01.2013;24.08.2018;;c:280611;ecommerce;9;7
537;SNAPin Software;WA;Bellevue;98004;47.614018;-122.19655;;c:30537;01.01.2003;;04.02.2015;c:30537;software;4.5;5
125;Azuro;CA;Santa Clara;95054;37.406217;-121.976473;;c:14656;01.01.2002;;17.11.2016;c:14656;semiconductor;4;5
279;ARPU;DC;Washington;20007;37.09024;-95.712891;;c:1766;01.05.2005;15.08.2015;;c:1766;advertising;3.5;1
242;BookFresh;CA;San Francisco;94105;37.779281;-122.419236;San Francisco CA 94105;c:16938;01.01.2007;;10.06.2018;c:16938;web;5;7
1097;Singly;CA;San Francisco;94110;37.779281;-122.419236;San Francisco CA 94110;c:83265;21.12.2010;;11.04.2015;c:83265;analytics;7;24
387;TxVia;NY;New York;10173;40.753881;-73.978852;;c:23136;01.01.2006;;19.02.2017;c:23136;finance;4;8
895;Blue Vector Systems;CA;Mountain View;94043;37.406914;-122.09037;Mountain View CA 94043;c:54066;01.01.2002;24.08.2016;;c:54066;public_relations;3;1
251;Open Kernel Labs;IL;Chicago;60606;41.878984;-87.637;;c:17219;01.01.2006;;27.07.2017;c:17219;software;2;3
390;Elanti Systems;NJ;Somerset;8873;40.535316;-74.521435;;c:23234;01.01.2007;07.02.2015;;c:23234;software;3;1
1023;Astrid;CA;San Francisco;94105;37.779281;-122.419236;San Francisco CA 94105;c:70586;01.01.2008;;20.08.2019;c:70586;social;3;7
459;Nordic Windpower;CA;Berkeley;94710;37.863464;-122.3153453;;c:26612;01.01.2007;12.12.2015;;c:26612;cleantech;2.6667;3
930;Visiprise;GA;Alpharetta;30009;34.070958;-84.274733;Alpharetta GA 30009;c:57923;01.01.1985;09.02.2017;;c:57923;software;7;2
934;Hubspan;WA;Seattle;98104;39.78373;-100.445882;Seattle WA 98104;c:58133;01.01.2000;;24.10.2016;c:58133;software;4;1
917;iConclude;WA;Bellevue;98004;47.614422;-122.192337;Bellevue WA 98004;c:5587;01.01.2005;;01.06.2018;c:5587;software;2.3333;5
670;41st Parameter;CA;San Jose;95128;37.314002;-121.932365;San Jose CA 95128;c:38338;01.01.2004;;23.02.2019;c:38338;security;3;16
811;Aardvark;CA;San Francisco;94110;37.748676;-122.415813;;c:4622;01.07.2007;;06.06.2016;c:4622;web;4;21
339;Hotelicopter;VA;Charlottesville;22902;38.030823;-78.48158;;c:202;01.06.2006;28.04.2017;;c:202;web;1;4
163;Anystream;VA;Dulles;20166;39.035298;-77.430125;;c:15652;01.01.2000;;19.03.2019;c:15652;software;2;9
121;CakeStyle;IL;Chicago;60607;39.78373;-100.445882;Chicago IL 60607;c:144825;01.08.2011;08.11.2019;;c:144825;web;1;2
1149;Fluther;CA;San Francisco;94110;37.758062;-122.418642;;c:9772;01.01.2007;;10.11.2019;c:9772;web;7;5
316;Pocket Communications Northeast;CT;Bloomfield;6002;41.853615;-72.70375;;c:19101;01.01.2006;27.02.2018;;c:19101;mobile;2;0
187;Goodreads;CA;Santa Monica;60401;34.01052;-118.495981;;c:1612;15.01.2007;;21.06.2017;c:1612;web;4;11
274;Woven Systems;CA;Santa Clara;95054;37.3821368;-121.970505;;c:17620;01.01.2003;;27.08.2015;c:17620;network_hosting;2.5;1
763;Kolorific;CA;Milpitas;;37.433646;-121.886704;Milpitas CA 95035-6261;c:43873;01.01.2003;26.07.2019;;c:43873;semiconductor;1;0
695;Krugle;CA;Menlo Park;94025;37.45604;-122.165399;;c:3986;01.01.2006;;29.01.2017;c:3986;search;4;10
973;Flud;CA;San Diego;92101;32.721834;-117.161797;San Diego CA 92101;c:61592;01.10.2010;19.12.2015;;c:61592;enterprise;1;12
618;Chomp;CA;San Francisco;94103;37.779281;-122.419236;San Francisco CA 94103;c:35236;09.09.2009;;29.04.2017;c:35236;mobile;3.5;10
574;Origen Therapeutics;CA;Burlingame;94010;37.584103;-122.366082;Burlingame CA 94010;c:31968;01.01.1997;10.06.2015;;c:31968;biotech;1;0
483;Inlet Technologies;NC;Raleigh;27606;35.76524;-78.731161;;c:27620;01.01.2003;;21.05.2017;c:27620;network_hosting;3.6667;3
1151;ShopWiki;NY;New York;10011;40.740441;-73.993376;;c:9816;01.06.2005;;10.11.2019;c:9816;ecommerce;1;12
881;Fondu;NY;New York;10001;40.750519;-73.993494;New York NY 10001;c:52566;01.02.2010;;06.09.2018;c:52566;web;6;4
841;Loudcaster;MA;Somerville;2143;42.387597;-71.099497;Somerville MA 2143;c:49236;01.08.2009;28.05.2018;;c:49236;web;1;1
370;TwoFish;CA;Redwood City;94065;37.522281;-122.258139;;c:2234;01.01.2006;;02.08.2017;c:2234;ecommerce;2.5;6
615;Workstreamer;TX;Austin;78701;40.694599;-73.990638;;c:3505;01.10.2009;02.09.2019;;c:3505;enterprise;1;7
925;Qwiki;NY;New York;10003;40.729839;-73.991781;New York NY 10003;c:56989;01.10.2009;;30.11.2016;c:56989;photo_video;6.3333;14
506;Redwood Systems;CA;Fremont;94538;37.54827;-121.988572;Fremont CA 94538;c:28482;01.01.2008;;14.03.2017;c:28482;cleantech;2.25;14
704;Artisan Pharma;MA;Waltham;2451;42.37564;-71.2358;Waltham MA 2451;c:40324;01.01.2006;;06.02.2016;c:40324;biotech;4.6667;2
179;Bill Me Later;MD;Timonium;21093;39.436844;-76.618704;Timonium MD 21093;c:1595;01.01.2000;;25.04.2019;c:1595;web;2.5;6
550;Bueda;PA;Pittsburgh;15213;40.441694;-79.990086;Pittsburgh PA 15213;c:31294;04.01.2009;11.03.2015;;c:31294;advertising;1;3
764;Defywire;VA;Reston;20191;38.958402;-77.357974;Reston VA 20191;c:43875;01.01.2003;30.07.2015;;c:43875;mobile;3;2
218;Silicon Clocks;CA;Fremont;94538;37.554214;-121.977451;;c:16562;01.01.2004;;03.02.2019;c:16562;semiconductor;3.5;2
299;TheMarkets;NY;New York;10019;40.762674;-73.9821315;;c:18075;01.01.2000;;28.03.2018;c:18075;web;5;2
1114;Netgamix Inc;IL;Chicago;60606;41.875555;-87.624421;Chicago IL 60606;c:86120;24.09.2010;04.04.2015;;c:86120;games_video;1;6
58;Sentrigo;CA;Santa Clara;95054;37.55911;-122.303493;;c:12173;01.10.2006;;17.10.2019;c:12173;software;2;9
782;Netli;CA;Palo Alto;94303;37.440682;-122.123103;Palo Alto CA 94303;c:44650;01.01.2000;;18.08.2019;c:44650;network_hosting;7;9
1020;Define My Style;OH;Cincinnati;45202;39.099909;-84.504243;Cincinnati OH 45202;c:70021;01.02.2010;20.04.2016;;c:70021;web;3;4
280;Firethorn;GA;Atlanta;30305;33.749099;-84.390185;Atlanta GA 30305;c:17660;01.01.2001;;08.01.2017;c:17660;mobile;1;1
873;Wellcore;CA;San Jose;95134;37.404788;-121.940842;San Jose CA 95134;c:51745;01.01.2007;22.07.2016;;c:51745;hardware;1;1
430;Taligen Therapeutics;MA;Cambridge;2142;42.3634664;-71.0786638;;c:25324;01.01.2004;;09.02.2017;c:25324;biotech;3.5;4
1065;Adap.tv;CA;San Mateo;94403;37.551441;-122.291435;;c:77;01.11.2006;;22.03.2015;c:77;advertising;2.5;27
312;Current Media;CA;San Francisco;94107;37.7795182;-122.3902619;;c:1895;01.01.2005;10.12.2017;;c:1895;network_hosting;1;12
220;ParAccel;CA;Campbell;95008;37.3166526;-122.05074;;c:16593;01.01.2007;;14.09.2018;c:16593;analytics;5.3333;13
206;Arch Rock Corporation;CA;San Francisco;;37.783171;-122.392901;;c:16289;01.01.2005;;04.05.2016;c:16289;software;3;6
928;SpiralFrog;NY;New York;10014;37.09024;-95.712891;;c:575;01.01.2004;29.11.2015;;c:575;games_video;1;8
158;Plusmo;CA;Santa Clara;95054;37.400367;-121.985711;;c:15562;01.06.2006;;14.01.2016;c:15562;mobile;1;4
979;ZipList;VA;Sterling;20166;39.001619;-77.403201;Sterling VA 20166;c:62432;01.01.2010;;18.03.2017;c:62432;web;2;9
1085;Involver;CA;San Francisco;94105;37.788653;-122.401333;;c:8100;01.01.2007;;01.07.2018;c:8100;software;2.5;11
977;Lionside;CA;San Francisco;94107;37.779281;-122.419236;San Francisco CA 94107;c:62262;01.01.2009;;20.02.2016;c:62262;games_video;3;6
639;Game Trust;NY;New York;10011;40.73901;-73.997259;New York NY 10011;c:3686;01.01.2002;;16.11.2016;c:3686;software;4;3
1092;Nearbuy Systems;CA;San Mateo;94403;37.5484187;-122.3151646;;c:82805;01.04.2010;;24.06.2017;c:82805;analytics;2;4
327;Visible Path;CA;Foster City;94404;37.55818;-122.276454;;c:196;01.01.2002;;26.11.2018;c:196;web;4;5
494;VT Silicon;GA;Atlanta;30308;33.774486;-84.385448;;c:28114;01.01.2002;24.03.2017;;c:28114;semiconductor;1;2
87;GetBack;CA;Los Angeles;90025;34.0342337;-118.4536137;;c:13277;01.09.2007;24.04.2017;;c:13277;web;1;1
985;Slipstream;CA;Oakland;94609;37.835676;-122.263548;Oakland CA 94609;c:63217;01.06.2010;23.10.2018;;c:63217;web;1;1
432;HipLogic;CA;Fremont;94538;37.5541073;-121.9756765;;c:2534;01.01.2005;;27.01.2016;c:2534;mobile;2.5;10
882;Dilithium Networks;CA;Petaluma;94954;38.279431;-122.668452;;c:5264;01.01.2001;04.02.2019;;c:5264;mobile;5.2;12
937;Yobongo;CA;San Francisco;94107;37.7824533;-122.3879489;;c:58512;01.01.2010;;20.01.2015;c:58512;web;10;2
77;Brickfish;IL;Chicago;60601;41.8851542;-87.6223183;;c:12957;01.11.2005;;10.03.2017;c:12957;software;1;17
608;MyEnergy;MA;Boston;2109;42.360253;-71.058291;Boston MA 2109;c:34499;04.06.2007;;30.12.2016;c:34499;web;3;12
601;LikeList;CA;Sunnyvale;94085;37.36883;-122.03635;Sunnyvale CA 94085;c:34028;01.01.2008;24.06.2016;;c:34028;web;1;5
392;Social Collective;VA;Arlington;22201;38.881717;-77.089398;;c:23335;17.04.2009;18.12.2016;;c:23335;web;1;3
535;Pure Networks;WA;Seattle;98101;47.60732;-122.335746;;c:30526;01.01.2002;;14.02.2019;c:30526;network_hosting;3;5
736;Internet Pawn;CO;Centennial;80112;39.568064;-104.977831;Centennial CO 80112;c:42519;01.01.2009;18.05.2018;;c:42519;finance;1;0
836;NeuroTherapeutics Pharma;IL;Chicago;60631;41.940611;-87.835972;Chicago IL 60631;c:48376;01.01.2006;10.12.2016;;c:48376;biotech;4;5
165;Provade;CA;San Mateo;94404;37.560155;-122.285588;;c:15693;01.01.2004;;29.12.2018;c:15693;enterprise;1;5
828;Infineta Systems;CA;San Jose;95134;37.404788;-121.940842;San Jose CA 95134;c:47587;01.01.2008;24.04.2018;;c:47587;software;2.5;4
227;Challenge Games;TX;Austin;78701;30.268236;-97.740651;;c:1669;01.01.2006;;14.09.2017;c:1669;network_hosting;1.5;11
725;Crowd Factory;CA;San Francisco;94114;37.758229;-122.439512;;c:421;01.01.2009;;18.06.2017;c:421;advertising;3;6
159;Friendsignia;TN;Memphis;;35.149022;-90.051628;Memphis TN 38103-4717;c:155621;29.01.2012;22.05.2018;;c:155621;web;1;2
709;Vizibility;NY;New York;10013;40.730646;-73.986614;New York NY 10013;c:40782;01.07.2009;;23.08.2019;c:40782;mobile;3;5
868;OpenFeint;CA;Burlingame;;37.5783263;-122.3485679;;c:51306;01.01.2008;;29.12.2015;c:51306;games_video;1;6
30;Tumblr;NY;New York;10016;40.743808;-73.983626;;c:1088;01.02.2007;;05.07.2017;c:1088;web;3.5;30
609;Hotlist;NY;New York;10013;40.730646;-73.986614;New York NY 10013;c:34522;01.01.2008;05.02.2015;;c:34522;social;1;8
1102;Crashlytics;MA;Cambridge;2139;42.3751;-71.105616;Cambridge MA 2139;c:83692;01.02.2011;;26.04.2017;c:83692;mobile;6;5
760;BridgePoint Medical;MN;Plymouth;55441;45.006515;-93.46651;Plymouth MN 55441;c:43831;01.01.2005;;11.10.2018;c:43831;medical;3;7
502;Recurve;CA;San Francisco;94104;37.777741;-122.412198;;c:28428;01.08.2005;;19.11.2015;c:28428;software;2;5
295;Conformity;TX;Austin;78730;30.35504;-97.801083;;c:17974;01.07.2007;25.04.2017;;c:17974;enterprise;1;14
1087;Moprise;WA;Seattle;98104;39.78373;-100.445882;Seattle WA 98104;c:81475;01.01.2010;12.12.2018;;c:81475;enterprise;1;6
1060;Plizy;CA;San Francisco;94108;37.779281;-122.419236;San Francisco CA 94108;c:76543;01.09.2010;26.08.2016;;c:76543;photo_video;1;5
1105;ShopRunner;PA;Conshohocken;19428;40.0708709;-75.302716;;c:84161;01.01.2010;;09.09.2015;c:84161;ecommerce;1;4
1084;RatePoint;MA;Needham;2494;42.296111;-71.238524;;c:810;01.09.2006;26.10.2015;;c:810;software;1;13
215;Digital Performance;CA;Newport Beach;92660;33.63776;-117.855989;;c:16488;01.01.2002;16.01.2019;;c:16488;advertising;2;3
35;Gowalla;TX;Austin;78701;30.2729209;-97.7443863;;c:11042;28.08.2007;;01.01.2015;c:11042;web;6;21
276;Copan Systems;CO;Longmont;80501;40.138979;-105.124465;;c:17633;01.01.2002;;27.02.2017;c:17633;network_hosting;6.5;8
569;Replay Solutions;CA;Redwood City;94063;37.512318;-122.200914;;c:3187;01.01.2004;;10.01.2018;c:3187;software;2;13
216;Turf Geography Club;NY;New York;10012;40.728425;-73.999882;New York NY 10012;c:164922;01.01.2011;26.11.2017;;c:164922;mobile;3;2
1090;skyrockit;CA;San Francisco;94108;37.779281;-122.419236;San Francisco CA 94108;c:81886;01.01.2001;15.01.2019;;c:81886;mobile;1;0
901;Cartavi;IL;Naperville;60563;41.800255;-88.149362;;c:54585;01.01.2009;;25.02.2015;c:54585;enterprise;1;7
46;Cramster;CA;Pasadena;91101;34.147047;-118.148896;;c:11507;01.01.2002;;19.08.2016;c:11507;web;1;5
419;Certify Data Systems;CA;San Jose;95128;37.317847;-121.948469;;c:24860;01.01.2004;;28.08.2016;c:24860;enterprise;1;4
135;Wheelz;CA;San Francisco;94103;37.779281;-122.419236;San Francisco CA 94103;c:148750;01.01.2011;;23.04.2017;c:148750;automotive;3;15
798;CentrePath;MA;Waltham;2451;42.37564;-71.2358;Waltham MA 2451;c:45611;01.01.2000;;13.04.2017;c:45611;software;2.5;4
712;VoxPop Network Corporation;CA;San Francisco;94111;37.8093381;-122.4166061;;c:4106;01.08.2006;;04.06.2015;c:4106;games_video;3;5
286;OpVista;CA;Milpitas;95035;37.4384108;-121.9240273;;c:17775;01.01.2000;10.09.2017;;c:17775;software;1;2
115;Metaweb Technologies;CA;San Francisco;94105;37.775196;-122.419204;;c:144;01.01.2005;;14.12.2018;c:144;web;3.5;7
81;DocVerse;CA;San Francisco;94105;37.788115;-122.397141;;c:13046;01.09.2007;;03.10.2016;c:13046;web;4;8
699;Veoh;CA;San Diego;92121;32.902266;-117.20834;;c:40;01.01.2004;;26.06.2019;c:40;games_video;5;15
456;BzzAgent;MA;Boston;2118;42.341899;-71.065924;;c:26460;01.01.2001;;06.09.2019;c:26460;advertising;2;16
176;Hammerhead Systems;CA;Mountain View;94043;37.40006;-122.049689;;c:15887;01.01.2002;10.01.2018;;c:15887;hardware;6;2
