Funding_per_contributor,Funding_per_milestone,Status_numeric,average_milestone_duration,average_milestone_duration_days,milestone_days_duration,first_milestone_date,funding_duration_days,last_funding_date,first_funding_date,Is Duplicate Row?,Status,years_from_first_to_last_milestone,last_milestone_date,amount_milestones,Funding_total_size,Fundingrounds,Fundingtotal,LocalCode:42,Name,state,city,zip_code_no_null,latitude,longitude,OfficeAddress_no_null,FoundingDate,closedDate,acquiredDate,BusinessField,NumContributors,NumPartners,company_id_corrected
10025000,40100000,1,1,0,1,01.01.2007,7112,28.12.2009,14.02.2005,Unique,Successful (Acquired),0,01.01.2007,1,Medium-High (10M+),4,40100000,204,TriCipher,CA,Los Gatos,95032,"37,238916","-121,973718",Unknown,01.01.2000,,30.04.2019,enterprise,4,9,16283
435953,0,0,,,,,1948,12.06.2010,10.02.2009,Unique,Failed,,,,Small Investment (<2M),4,435953,886,GeekStatus,CA,Beverly Hills,90211,"34,066697","-118,383367",Beverly Hills CA 90211,01.08.2010,13.11.2018,,web,1,0,53304
50000000,33333333,1,3,1185,3,01.01.2008,1920,01.12.2007,01.03.2006,Unique,Successful (Acquired),3,01.04.2011,3,Very High (100M+),3,100000000,179,Bill Me Later,MD,Timonium,21093,"39,436844","-76,618704",Timonium MD 21093,01.01.2000,,25.04.2019,web,2,6,1595
106400,266000,1,2,176,2,07.11.2011,286,24.03.2011,01.11.2010,Unique,Successful (Acquired),1,30.04.2012,2,Small Investment (<2M),2,532000,969,Thinkfuse,WA,Seattle,98109,"47,603832","-122,330062",Seattle WA 98109,01.08.2010,,20.01.2015,enterprise,5,6,60580
2000000,1500000,1,4,540,4,27.09.2010,0,31.08.2006,31.08.2006,Unique,Successful (Acquired),2,21.03.2012,4,Medium (2M+),1,6000000,884,Efficient Frontier,CA,Sunnyvale,94089,"37,4049731","-122,0323525",Unknown,01.01.2002,,11.12.2015,advertising,3,25,5306
30926154,0,0,,,,,1434,24.01.2013,04.10.2011,Unique,Failed,,,,Medium-High (10M+),3,30926154,84,CV Ingenuity,CA,Fremont,Unknown,"37,54827","-121,988572",Fremont CA 94555-3619,01.01.2008,27.01.2018,,medical,1,2,131583
4000000,0,0,,,,,0,16.05.2007,16.05.2007,Unique,Failed,,,,Medium (2M+),1,4000000,787,Skyway Software,FL,Tampa,33609,"27,951849","-82,456397",Tampa FL 33609,01.01.2001,14.08.2017,,software,1,0,45114
49600000,49600000,0,1,0,1,01.01.2012,10732,17.05.2012,11.01.2005,Unique,Failed,0,01.01.2012,1,Medium-High (10M+),4,49600000,651,NextIO,TX,Austin,78759,"30,409765","-97,75101",Austin TX 78759,01.01.2003,30.10.2018,,hardware,1,10,37647
14533333,14533333,0,3,507,3,01.06.2008,5175,01.05.2008,01.07.2005,Unique,Failed,1,21.10.2009,3,Medium-High (10M+),5,43600000,530,SearchMe,CA,Mountain View,94040,"37,386665","-122,084171",Unknown,01.07.2005,25.12.2015,,search,3,7,3027
7833333,11750000,1,2,1604,2,01.01.2006,4089,29.07.2009,04.11.2005,Unique,Successful (Acquired),4,24.05.2010,2,Medium-High (10M+),3,23500000,516,Trust Digital,VA,McLean,22102,"38,919954","-77,212493",Unknown,01.03.2003,,25.09.2015,mobile,3,11,29312
4900000,12250000,1,2,10,2,10.01.2011,564,14.02.2008,08.05.2007,Unique,Successful (Acquired),0,19.01.2011,2,Medium-High (10M+),2,24500000,185,Crossbeam Systems,MA,Boxborough,1719,"42,496515","-71,480233",Unknown,01.01.2000,,02.01.2016,security,5,13,16070
125000,62500,1,2,4,2,01.03.2012,426,01.03.2012,01.08.2011,Unique,Successful (Acquired),0,05.03.2012,2,Small Investment (<2M),2,125000,139,Trendslide,NH,Manchester,3101,"42,99564","-71,454789",Manchester NH 3101,01.08.2011,,12.05.2016,mobile,1,9,149809
8050000,0,1,,,,,2127,07.11.2008,29.11.2006,Unique,Successful (Acquired),,,,Medium-High (10M+),3,32200000,1141,iSkoot,CA,San Francisco,94107,"37,780134","-122,396744",Unknown,22.04.2005,,14.05.2015,mobile,4,10,96
19000000,28500000,1,2,830,2,07.04.2008,1370,15.01.2008,01.03.2006,Unique,Successful (Acquired),2,16.07.2010,2,High (50M+),2,57000000,115,Metaweb Technologies,CA,San Francisco,94105,"37,775196","-122,419204",Unknown,01.01.2005,,14.12.2018,web,3,7,144
105701500,105701500,0,2,1396,2,01.01.2007,17784,01.04.2012,01.03.2006,Unique,Failed,3,27.10.2010,2,Very High (100M+),8,211403000,54,SolFocus,CA,San Jose,95112,"37,3987372","-122,0497918",Unknown,01.11.2005,21.02.2018,,cleantech,2,6,12099
154000,77000,0,2,496,2,01.08.2010,0,01.08.2011,01.08.2011,Unique,Failed,1,09.12.2011,2,Small Investment (<2M),1,154000,1071,HelpMeRent.com,CA,Hollywood,90028,"34,102827","-118,32999",Hollywood CA 90028,01.10.2010,17.03.2018,,real_estate,1,5,79089
13837500,27675000,1,2,298,2,01.01.2010,4484,26.10.2010,01.10.2007,Unique,Successful (Acquired),0,26.10.2010,2,High (50M+),4,55350000,387,TxVia,NY,New York,10173,"40,753881","-73,978852",Unknown,01.01.2006,,19.02.2017,finance,4,8,23136
20000000,10000000,0,2,1030,2,01.01.2008,0,28.10.2010,28.10.2010,Unique,Failed,2,27.10.2010,2,Medium-High (10M+),1,20000000,962,Kiha Software,WA,Seattle,98104,"39,78373","-100,445882",Seattle WA 98104,01.01.2008,14.09.2018,,software,1,1,60243
2000000,0,0,,,,,0,03.10.2007,03.10.2007,Unique,Failed,,,,Medium (2M+),1,2000000,574,Origen Therapeutics,CA,Burlingame,94010,"37,584103","-122,366082",Burlingame CA 94010,01.01.1997,10.06.2015,,biotech,1,0,31968
500000,250000,1,2,336,2,01.01.2012,0,21.06.2012,21.06.2012,Unique,Successful (Acquired),0,01.12.2012,2,Small Investment (<2M),1,500000,1014,BlockBeacon,CA,Santa Monica,90401,"34,019657","-118,487549",Santa Monica CA 90401,01.01.2012,,20.10.2015,web,1,12,68470
500000,0,0,,,,,0,11.11.2008,11.11.2008,Unique,Failed,,,,Small Investment (<2M),2,1000000,90,GlobalCrypto,GA,Atlanta,30308,"33,776834","-84,3895875",Unknown,01.06.2006,25.09.2015,,software,2,0,13410
666666,1000000,1,2,214,2,01.03.2013,2538,26.04.2012,01.01.2010,Unique,Successful (Acquired),0,01.10.2013,2,Medium (2M+),3,2000000,745,Hitpost,CA,San Francisco,94107,"37,7822788","-122,392978",Unknown,01.04.2009,,27.06.2017,sports,3,16,43172
915000,1525000,1,3,627,3,15.04.2011,918,01.08.2011,29.09.2010,Unique,Successful (Acquired),2,01.01.2013,3,Medium (2M+),3,4575000,858,SinglePlatform,NY,New York,10004,"40,730646","-73,986614",New York NY 10004,01.01.2010,,02.09.2015,web,5,10,50727
11000000,11000000,1,1,0,1,21.02.2011,602,22.05.2006,25.07.2005,Unique,Successful (Acquired),0,21.02.2011,1,Medium-High (10M+),2,11000000,146,Kace networks,CA,Mountain View,94043,"37,417002","-122,07871",Unknown,01.01.2003,,12.09.2015,software,1,7,15122
2000000,666666,1,3,162,3,28.06.2010,984,06.12.2010,01.08.2009,Unique,Successful (Acquired),0,06.12.2010,3,Medium (2M+),2,2000000,542,DiJiPOP,RI,Providence,2906,"51,43247","-2,664213",Providence RI 2906,01.11.2008,,21.07.2019,advertising,1,6,30820
1333333,1000000,1,4,780,4,15.10.2011,358,28.04.2008,01.11.2007,Unique,Successful (Acquired),2,04.12.2013,4,Medium (2M+),2,4000000,864,Docstoc,CA,Santa Monica,90401,"34,018275","-118,495025",Unknown,01.08.2007,,10.06.2015,web,3,22,512
954000,954000,0,1,0,1,01.01.1999,0,13.01.2010,13.01.2010,Unique,Failed,0,01.01.1999,1,Small Investment (<2M),1,954000,442,Broadway Networks,CA,San Jose,95110,"37,336191","-121,890583",San Jose CA 95110,01.01.2006,13.09.2015,,public_relations,1,3,25756
11000000,22000000,1,1,0,1,01.01.2008,3909,23.09.2008,28.02.2005,Unique,Successful (Acquired),0,01.01.2008,1,Medium-High (10M+),3,22000000,47,Right90,CA,Foster City,94404,"37,571318","-122,267962",Unknown,01.01.2003,,22.03.2018,software,2,5,11531
14957500,5983000,1,5,1205,5,01.01.2010,15085,24.01.2012,01.03.2006,Unique,Successful (Acquired),3,18.04.2013,5,Medium-High (10M+),7,29915001,63,Peer39,NY,New York,10010,"40,755446","-73,980246",Unknown,01.03.2006,,18.09.2019,advertising,2,18,1224
27000000,0,0,,,,,2478,05.01.2010,02.10.2007,Unique,Failed,,,,High (50M+),3,54000000,459,Nordic Windpower,CA,Berkeley,94710,"37,863464","-122,3153453",Unknown,01.01.2007,12.12.2015,,cleantech,2,3,26612
3000000,0,0,,,,,0,21.10.2008,21.10.2008,Unique,Failed,,,,Medium (2M+),1,3000000,484,Texert,TX,Dallas,75001,"32,9583632","-96,8215658",Unknown,01.01.2007,25.03.2018,,software,1,1,27740
7516703,2505567,0,3,327,3,02.04.2009,5616,05.06.2012,01.08.2008,Unique,Failed,1,22.02.2010,3,Medium (2M+),4,7516703,61,DubMeNow,VA,Viena,22182,"38,916336","-77,230488",Unknown,01.01.2008,06.01.2017,,mobile,1,5,12224
6700000,13400000,1,1,0,1,01.01.2003,0,01.02.2005,01.02.2005,Unique,Successful (Acquired),0,01.01.2003,1,Medium-High (10M+),1,13400000,500,Blue Lane Technologies,CA,Cupertino,95014,"37,3169065","-122,0497023",Unknown,01.01.2002,,06.06.2017,public_relations,2,4,28420
6250000,6250000,1,1,0,1,01.06.2011,0,01.07.2006,01.07.2006,Unique,Successful (Acquired),0,01.06.2011,1,Medium (2M+),1,6250000,1151,ShopWiki,NY,New York,10011,"40,740441","-73,993376",Unknown,01.06.2005,,10.11.2019,ecommerce,1,12,9816
12700000,12700000,1,1,0,1,01.11.2012,2102,17.05.2013,01.07.2010,Unique,Successful (Acquired),0,01.11.2012,1,Medium-High (10M+),2,12700000,322,EdgeSpring,CA,San Mateo,94401,"37,566009","-122,321646",San Mateo CA 94401,01.07.2010,,11.12.2018,analytics,1,15,195233
200000,66666,0,3,780,3,11.01.2011,0,01.01.2012,01.01.2012,Unique,Failed,2,01.03.2013,3,Small Investment (<2M),1,200000,1056,Sonar.me,NY,New York,10001,"40,750519","-73,993494",New York NY 10001,01.01.2010,04.12.2017,,mobile,1,8,76274
3675000,7350000,1,2,1066,2,01.11.2007,2738,01.10.2011,01.01.2008,Unique,Successful (Acquired),3,01.10.2010,2,Medium-High (10M+),2,14700000,341,SpaBooker,NY,New York,10007,"40,738567","-73,987199",Unknown,01.11.2007,,28.11.2016,software,4,8,20313
1520000,3800000,1,2,288,2,01.01.2013,5544,22.01.2013,01.01.2008,Unique,Successful (Acquired),0,16.10.2013,2,Medium (2M+),3,7600000,610,Optimal,CA,San Francisco,94104,"37,779281","-122,419236",San Francisco CA 94104,01.01.2008,,24.03.2019,advertising,5,10,34545
7350000,2450000,0,3,1038,3,01.08.2006,1530,14.11.2008,11.10.2006,Unique,Failed,3,03.06.2009,3,Medium (2M+),2,7350000,41,B-Side Entertainment,NY,New York,10010,"40,7434025","-73,9890857",Unknown,07.04.2005,17.05.2017,,games_video,1,8,11397
9100000,6825000,1,4,788,4,24.02.2009,4002,27.08.2009,01.01.2006,Unique,Successful (Acquired),2,24.04.2011,4,Medium-High (10M+),3,27300000,1089,OneRiot,CO,Boulder,80302,"40,01621","-105,28131",Unknown,01.01.2006,,22.06.2017,advertising,3,14,815
250000,333333,1,3,1062,3,01.12.2009,236,02.12.2009,06.08.2009,Unique,Successful (Acquired),3,29.10.2012,3,Small Investment (<2M),2,1000000,1150,ReTel Technologies,CA,San Francisco,94105,"41,78942","-87,596232",Unknown,01.10.2007,,11.09.2018,analytics,4,4,9782
4500000,27000000,1,1,0,1,01.01.2011,1989,11.09.2007,17.11.2005,Unique,Successful (Acquired),0,01.01.2011,1,Medium-High (10M+),3,27000000,238,BroadLight,CA,Santa Clara,95054,"37,404044","-121,978956",Unknown,01.06.2000,,02.06.2017,software,6,5,16874
1641163,1641163,1,2,1342,2,01.04.2010,1473,23.11.2012,21.07.2011,Unique,Successful (Acquired),3,03.12.2013,2,Medium (2M+),3,3282327,1092,Nearbuy Systems,CA,San Mateo,94403,"37,5484187","-122,3151646",Unknown,01.04.2010,,24.06.2017,analytics,2,4,82805
240000,400000,1,3,426,3,01.06.2012,0,18.03.2012,18.03.2012,Unique,Successful (Acquired),1,02.08.2013,3,Small Investment (<2M),1,1200000,11,WeHostels,NY,New York City,10010,"40,730646","-73,986614",New York City NY 10010,15.11.2011,,06.09.2015,travel,5,9,102867
16500000,33000000,1,1,0,1,01.01.2002,11725,22.06.2010,20.01.2004,Unique,Successful (Acquired),0,01.01.2002,1,Medium-High (10M+),5,33000000,649,Tatara Systems,MA,Acton,1720,"42,485093","-71,43284",Acton MA 1720,01.01.2001,,11.11.2019,mobile,2,4,37335
16000000,0,0,,,,,1106,30.10.2006,25.04.2005,Unique,Failed,,,,Medium-High (10M+),2,16000000,802,Intrusic,MA,Burlington,1803,"42,504817","-71,195611",Burlington MA 1803,01.01.2001,30.08.2015,,software,1,1,45792
37000000,9250000,0,4,1112,4,01.10.2010,4872,11.02.2010,01.09.2005,Unique,Failed,3,18.10.2013,4,Medium-High (10M+),3,37000000,587,WebVisible,CA,Playa Vista,90094,"33,97279","-118,427578",Playa Vista CA 90094,01.01.2001,08.01.2017,,software,1,33,3288
10000000,10000000,1,1,0,1,01.01.2002,0,06.04.2007,06.04.2007,Unique,Successful (Acquired),0,01.01.2002,1,Medium-High (10M+),1,10000000,513,TrenStar,CO,Greenwood Village,80111,"39,616435","-104,879925",Greenwood Village CO 80111,01.01.2001,,16.01.2016,software,1,2,29168
32006000,10668666,1,3,609,3,09.07.2010,7188,03.05.2010,01.06.2005,Unique,Successful (Acquired),2,09.03.2012,3,Medium-High (10M+),4,32006000,82,Loopt,CA,Mountain View,94040,"37,384717","-122,081625",Unknown,01.01.2005,,01.05.2015,mobile,1,21,1309
11250000,5625000,1,8,1424,8,08.01.2010,8440,12.07.2011,01.10.2005,Unique,Successful (Acquired),3,04.12.2013,8,Medium-High (10M+),4,45000000,698,Digg,CA,San Francisco,94107,"37,764726","-122,394523",Unknown,11.10.2004,,23.01.2019,news,4,57,4
4300000,1433333,0,3,1152,3,01.01.2008,0,25.03.2008,25.03.2008,Unique,Failed,3,25.02.2011,3,Medium (2M+),1,4300000,44,Predictify,CA,Redwood City,94063,"37,486571","-122,229161",Unknown,01.03.2007,26.01.2017,,advertising,1,4,1148
230000,690000,0,1,0,1,01.11.2011,0,02.12.2011,02.12.2011,Unique,Failed,0,01.11.2011,1,Small Investment (<2M),1,690000,1020,Define My Style,OH,Cincinnati,45202,"39,099909","-84,504243",Cincinnati OH 45202,01.02.2010,20.04.2016,,web,3,4,70021
150000,150000,0,2,448,2,01.05.2010,554,22.07.2011,18.10.2010,Unique,Failed,1,22.07.2011,2,Small Investment (<2M),2,300000,949,Diversion,CA,Los Angeles,90024,"34,050451","-118,437775",Los Angeles CA 90024,01.05.2010,08.08.2018,,games_video,2,5,59298
12050000,0,0,,,,,1688,01.07.2007,09.03.2005,Unique,Failed,,,,Medium-High (10M+),2,12050000,768,Transparency Software,CA,Palo Alto,94301,"37,441537","-122,158332",Palo Alto CA 94301,01.01.2004,15.07.2018,,software,1,0,43948
5000000,15000000,1,1,0,1,01.01.2007,0,19.04.2007,19.04.2007,Unique,Successful (Acquired),0,01.01.2007,1,Medium-High (10M+),1,15000000,558,Reliant Technologies,CA,Mountain View,94303,"37,400115","-122,052208",Unknown,01.01.2001,,25.05.2017,biotech,3,9,31559
3500000,1750000,1,4,2152,4,01.01.2008,0,01.12.2007,01.12.2007,Unique,Successful (Acquired),5,21.11.2013,4,Medium (2M+),1,7000000,1133,Consorte Media,CA,San Francisco,94104,"37,762185","-122,467269",Unknown,01.07.2005,,27.12.2017,web,2,5,921
2000000,2000000,1,4,2656,4,01.03.2006,608,01.04.2005,01.06.2004,Unique,Successful (Acquired),7,06.06.2013,4,Medium (2M+),2,8000000,156,FeedBurner,IL,Chicago,60610,"41,889474","-87,628912",Unknown,01.02.2004,,29.10.2017,web,4,16,155
33956593,67913186,1,2,2,2,13.09.2010,9984,01.03.2013,01.05.2006,Unique,Successful (Acquired),0,14.09.2010,2,Very High (100M+),4,135826373,474,Luminus Devices,MA,Billerica,1821,"42,528635","-71,278022",Unknown,01.01.2002,,19.10.2018,other,4,3,27163
200000,600000,1,2,680,2,01.02.2012,902,01.08.2011,07.05.2010,Unique,Successful (Acquired),1,11.12.2013,2,Small Investment (<2M),2,1200000,650,Venmo,NY,New York,10001,"40,750519","-73,993494",New York NY 10001,04.04.2009,,22.04.2015,mobile,6,8,37635
6000000,4000000,0,3,357,3,05.08.2008,666,18.03.2008,20.04.2007,Unique,Failed,1,29.07.2009,3,Medium-High (10M+),2,12000000,183,VoloMedia,CA,Sunnyvale,94086,"37,382376","-122,037607",Unknown,01.01.2005,16.08.2017,,advertising,2,4,16066
7466666,22400000,1,1,0,1,01.01.2005,3420,08.09.2008,26.07.2005,Unique,Successful (Acquired),0,01.01.2005,1,Medium-High (10M+),3,22400000,483,Inlet Technologies,NC,Raleigh,27606,"35,76524","-78,731161",Unknown,01.01.2003,,21.05.2017,network_hosting,3,3,27620
5800000,3866666,1,3,819,3,22.12.2009,2478,24.05.2006,01.01.2003,Unique,Successful (Acquired),3,19.03.2012,3,Medium-High (10M+),2,11600000,52,Kiva Systems,MA,North Reading,1864,"42,492256","-71,134549",Unknown,01.01.2003,,12.02.2016,hardware,2,13,12052
1300000,433333,0,3,1638,3,18.03.2008,0,31.01.2008,31.01.2008,Unique,Failed,4,11.09.2012,3,Small Investment (<2M),1,1300000,1068,Flowgram,CA,San Francisco,94103,"37,7710177","-122,4025976",Unknown,01.06.2007,24.05.2015,,web,1,1,7748
1783333,1783333,1,3,411,3,01.11.2011,4970,04.06.2013,14.09.2010,Unique,Successful (Acquired),1,17.12.2012,3,Medium (2M+),5,5350000,367,Infochimps,TX,Austin,78703,"30,2734822","-97,7588828",Unknown,14.07.2009,,15.09.2017,enterprise,3,8,22168
1700000,850000,0,2,0,2,01.04.2011,0,01.12.2011,01.12.2011,Unique,Failed,0,01.04.2011,2,Small Investment (<2M),1,1700000,1027,nprogress,CA,Los Angeles,90049,"34,054935","-118,244476",Los Angeles CA 90049,01.02.2010,11.07.2016,,social,1,4,71372
41000000,20500000,1,2,416,2,01.06.2010,774,03.06.2010,12.05.2009,Unique,Successful (Acquired),1,22.07.2011,2,Medium-High (10M+),2,41000000,381,HauteLook,CA,Los Angeles,90015,"34,054935","-118,244476",Los Angeles CA 90015,01.12.2007,,07.10.2015,fashion,1,15,23052
3499997,1166665,1,3,1416,3,01.11.2008,2676,06.11.2010,06.01.2009,Unique,Successful (Acquired),4,16.09.2012,3,Medium (2M+),4,3499997,222,Pictela,NY,New York,10003,"40,756054","-73,986951",Unknown,17.10.2008,,05.06.2016,advertising,1,8,16611
16000000,3200000,1,5,3835,5,01.01.2002,1462,01.12.2004,01.12.2002,Unique,Successful (Acquired),10,02.07.2012,5,Medium-High (10M+),2,16000000,292,Gotuit,MA,Woburn,1801,"42,479262","-71,152277",Woburn MA 1801,01.01.2000,,11.06.2016,web,1,6,179
3000000,1500000,0,2,104,2,30.09.2009,0,28.01.2009,28.01.2009,Unique,Failed,1,11.01.2010,2,Medium (2M+),1,3000000,295,Conformity,TX,Austin,78730,"30,35504","-97,801083",Unknown,01.07.2007,25.04.2017,,enterprise,1,14,17974
2238055,2238055,0,1,0,1,01.10.2010,182,07.10.2011,08.07.2011,Unique,Failed,0,01.10.2010,1,Medium (2M+),2,2238055,1087,Moprise,WA,Seattle,98104,"39,78373","-100,445882",Seattle WA 98104,01.01.2010,12.12.2018,,enterprise,1,6,81475
9000000,6000000,1,3,1029,3,05.08.2009,4302,10.08.2010,06.09.2006,Unique,Successful (Acquired),3,30.05.2012,3,Medium-High (10M+),3,18000000,284,TRAFFIQ,NY,New York,10018,"40,7429533","-73,9844611",Unknown,06.09.2006,,07.07.2018,advertising,2,16,17758
296666,444999,0,2,1408,2,01.05.2007,2092,12.04.2010,01.06.2007,Unique,Failed,4,08.03.2011,2,Small Investment (<2M),2,889999,677,Hello Chair,CA,San Francisco,94110,"37,779281","-122,419236",San Francisco CA 94110,01.01.2006,25.10.2015,,mobile,3,5,38794
19550000,0,0,,,,,6756,26.05.2011,10.10.2006,Unique,Failed,,,,Medium-High (10M+),4,19550000,604,Chronicity,TX,Addison,75001,"32,960431","-96,83026",Addison TX 75001,01.09.2006,26.05.2018,,consulting,1,0,34267
7500000,7500000,1,2,372,2,14.12.2010,1252,19.08.2010,01.12.2008,Unique,Successful (Acquired),1,20.12.2011,2,Medium-High (10M+),2,15000000,329,Viridity Software,MA,Burlington,1803,"42,4871509","-71,1986329",Unknown,01.01.2008,,25.02.2015,software,2,5,19670
