founding_year,Calculation1,amount_milestones_corrected,age_last_funding,age_first_funding,is_first_funding_the_biggest_funding,First_funding_amount,biggest_funding_amount_share_of_total_funding_%,biggest_funding_amount,Funding_rounds,days_from_first_to_last_milestone,average_days_per_milestone,Funding_total,funding_duration_days,days_per_funding,average_funding_size,Is_Successful,state,FoundingDate,BusinessField,NumContributors,NumPartners
2006,0,1,1815,452,1,9946561,75,9946561,5,0,0,13130000,1363,272,2626000,0,MA,01.01.2006,web,1,1
2008,1,2,1347,1154,0,7792522,52,8507478,2,548,274,16300000,193,96,8150000,1,MA,01.01.2008,enterprise,2,6
2005,0,3,1307,1307,1,4100000,100,4100000,1,3137,1045,4100000,0,0,4100000,0,WA,01.01.2005,web,1,3
2005,0,2,2343,120,1,122360364,57,122360364,8,1395,697,211403000,2223,277,26425375,0,CA,01.11.2005,cleantech,2,6
2004,0,3,1274,1274,1,10000000,100,10000000,1,979,326,10000000,0,0,10000000,1,WA,11.05.2004,enterprise,2,10
2009,1,2,795,59,1,3057066,91,3057066,4,244,122,3350000,736,184,837500,1,VA,01.01.2009,mobile,1,3
2006,0,2,150,150,1,6100000,100,6100000,1,925,462,6100000,0,0,6100000,1,CA,01.01.2006,search,4,10
2002,0,2,2893,1315,1,8972230,41,8972230,3,188,94,21460663,1578,526,7153554,1,FL,01.01.2002,software,4,1
2002,0,1,1632,1632,1,13000000,100,13000000,1,0,0,13000000,0,0,13000000,1,OR,01.01.2002,software,4,6
2009,1,2,688,456,0,355949,65,664051,2,354,177,1020000,232,116,510000,1,CA,01.06.2009,social,2,4
1999,0,1,2874,2734,1,12572220,69,12572220,2,0,0,18000000,140,70,9000000,0,CA,01.01.1999,hardware,1,6
2010,0,1,896,661,0,88417,92,1086583,2,0,0,1175000,235,117,587500,0,PA,01.01.2010,software,1,2
2010,0,3,248,116,0,1620688,85,9829312,2,751,250,11450000,132,66,5725000,1,NY,01.05.2010,messaging,8,16
2001,1,3,1589,1589,1,10000000,100,10000000,1,1066,355,10000000,0,0,10000000,1,NY,01.03.2001,games_video,4,7
2008,1,1,1298,1077,1,19640313,94,19640313,2,0,0,20757182,221,110,10378591,1,CA,01.01.2008,biotech,1,3
2005,0,3,2897,396,0,5000436,45,6940463,6,1617,539,15324624,2501,416,2554104,1,CO,01.01.2005,enterprise,2,10
2003,0,1,2912,1958,1,34621058,91,34621058,3,0,0,37891054,954,318,12630351,1,CA,01.01.2003,semiconductor,3,5
2005,0,3,1948,151,1,27529445,86,27529445,4,609,203,32006000,1797,449,8001500,1,CA,01.01.2005,mobile,1,21
2008,1,3,1685,0,1,7959827,34,7959827,4,722,240,23400000,1685,421,5850000,1,NY,01.03.2008,travel,2,15
2010,0,2,696,514,1,1166380,52,1166380,2,730,365,2212000,182,91,1106000,1,NY,01.03.2010,analytics,3,5
2010,0,2,169,169,1,3500000,100,3500000,1,197,98,3500000,0,0,3500000,0,CA,01.09.2010,enterprise,1,16
2004,0,2,2535,2133,1,7715408,59,7715408,2,168,84,13000000,402,201,6500000,0,CA,01.01.2004,hardware,1,6
2006,0,2,1416,64,0,8343736,58,12193126,3,903,451,20750000,1352,450,6916666,1,CA,01.01.2006,hardware,2,12
2005,0,3,2030,298,0,6694014,56,18319163,4,1252,417,32500000,1732,433,8125000,0,NC,01.04.2005,enterprise,2,8
2005,0,1,1277,1277,1,5000000,100,5000000,1,0,0,5000000,0,0,5000000,0,CA,01.01.2005,cleantech,1,6
2002,0,2,3154,1863,1,8822263,88,8822263,3,448,224,10000000,1291,430,3333333,1,CA,02.05.2002,advertising,1,10
2003,0,2,2203,1020,1,22484014,49,22484014,4,184,92,45000000,1183,295,11250000,0,CA,01.01.2003,security,2,16
2008,1,3,248,248,1,4000000,100,4000000,1,478,159,4000000,0,0,4000000,1,CA,01.01.2008,web,3,15
2000,0,5,3044,671,1,3726427,76,3726427,2,2877,575,4900000,2373,1186,2450000,1,PA,01.03.2000,enterprise,1,4
2001,1,2,1826,1095,1,14051032,96,14051032,2,281,140,14500000,731,365,7250000,1,MA,01.01.2001,advertising,2,16
2009,1,2,1072,553,0,807941,64,1442059,2,430,215,2250000,519,259,1125000,1,CA,19.03.2009,web,8,6
2000,0,1,2235,2235,1,18000000,100,18000000,1,0,0,18000000,0,0,18000000,1,CA,01.01.2000,network_hosting,7,9
2004,0,3,1214,517,1,23763005,66,23763005,2,1970,656,36000000,697,348,18000000,1,CA,01.01.2004,hardware,3,11
2008,1,3,535,153,1,7207866,96,7207866,2,367,122,7500000,382,191,3750000,1,CA,01.06.2008,enterprise,3,12
2007,1,2,790,365,0,1417716,59,2082284,2,354,177,3500000,425,212,1750000,1,CA,01.01.2007,games_video,2,10
2008,1,3,841,841,1,2500000,100,2500000,1,983,327,2500000,0,0,2500000,1,MA,01.07.2008,search,2,4
2007,1,4,1771,212,0,6687117,62,49137847,5,1646,411,78573646,1559,311,15714729,1,CA,01.01.2007,games_video,4,10
2006,0,1,1473,1473,1,954000,100,954000,1,0,0,954000,0,0,954000,0,CA,01.01.2006,public_relations,1,3
2005,0,1,1838,31,1,12896383,65,12896383,3,0,0,19743770,1807,602,6581256,1,CA,01.01.2005,software,2,10
2007,1,2,1701,758,1,12427825,91,12427825,2,52,26,13600000,943,471,6800000,1,GA,01.01.2007,software,3,9
2004,0,2,2100,1461,0,3792537,83,74433641,4,28,14,89500000,639,159,22375000,0,CA,01.01.2004,finance,1,6
2009,1,1,528,518,0,299220,70,700780,2,0,0,1000000,10,5,500000,1,NY,01.09.2009,advertising,3,5
2002,0,1,2933,730,0,4744878,42,12502840,4,0,0,29288979,2203,550,7322244,1,CA,01.01.2002,software,2,9
2003,0,1,2030,638,0,24101677,36,25732514,3,0,0,69600000,1392,464,23200000,1,CA,01.10.2003,semiconductor,7,5
2009,1,1,469,469,1,15000,100,15000,1,0,0,15000,0,0,15000,0,OH,19.09.2009,ecommerce,1,1
2005,0,5,1796,1133,1,8658303,75,8658303,2,1223,244,11500000,663,331,5750000,1,CA,01.01.2005,mobile,2,10
2006,0,3,365,365,1,1000000,100,1000000,1,1461,487,1000000,0,0,1000000,1,CA,01.10.2006,web,1,4
2010,0,2,906,388,1,813615,85,813615,2,477,238,950000,518,259,475000,0,IL,01.03.2010,mobile,3,1
2006,0,4,1571,488,1,38772715,83,38772715,4,1370,342,46300000,1083,270,11575000,1,CA,01.05.2006,games_video,4,12
2008,1,3,750,81,1,3091983,88,3091983,4,1415,471,3499997,669,167,874999,1,NY,17.10.2008,advertising,1,8
2009,1,4,1312,263,0,6923068,47,31674511,4,431,107,66000000,1049,262,16500000,1,CA,01.03.2009,fashion,2,17
2009,1,1,212,0,1,33687,63,33687,2,0,0,53000,212,106,26500,0,MA,01.08.2009,web,1,1
2004,0,2,1882,895,1,26663645,95,26663645,3,201,100,28000000,987,329,9333333,1,MA,01.01.2004,software,2,7
2002,0,1,1961,120,0,15269716,48,17034742,3,0,0,35150000,1841,613,11716666,1,CA,01.01.2002,web,3,9
2007,1,3,1364,415,1,7433729,52,7433729,3,275,91,14229998,949,316,4743332,1,CA,01.12.2007,web,3,14
2009,1,1,1068,314,0,884287,69,13167108,3,0,0,19000000,754,251,6333333,1,CA,01.01.2009,enterprise,2,4
2009,1,2,503,432,1,1897287,99,1897287,2,650,325,1900000,71,35,950000,0,NY,01.01.2009,web,2,7
2007,1,2,934,90,1,10226205,79,10226205,3,1013,506,12800000,844,281,4266666,1,NY,01.01.2007,games_video,1,11
2000,0,1,2670,2670,1,16980999,100,16980999,1,0,0,16980999,0,0,16980999,1,MD,01.01.2000,biotech,1,6
2009,1,3,755,755,1,6500000,100,6500000,1,652,217,6500000,0,0,6500000,1,CA,01.01.2009,advertising,3,6
2005,0,3,1909,1733,0,5145210,82,24854790,2,694,231,30000000,176,88,15000000,1,TX,01.01.2005,network_hosting,1,10
2005,0,2,2197,775,0,3800560,63,13941287,3,1647,823,21900000,1422,474,7300000,1,MA,01.01.2005,software,1,5
2009,1,3,1042,395,0,1664652,70,4021731,2,1058,352,5686383,647,323,2843191,1,NY,01.04.2009,mobile,2,9
2006,0,2,1600,904,1,2993341,59,2993341,3,581,290,5056559,696,232,1685519,1,WA,11.08.2006,mobile,1,10
2001,1,3,3440,842,1,60159536,61,60159536,7,2525,841,98170000,2598,371,14024285,0,CA,01.01.2001,mobile,5,12
2009,1,3,687,687,1,1000000,100,1000000,1,498,166,1000000,0,0,1000000,0,NY,01.01.2009,fashion,7,5
2000,0,3,2372,0,1,21865382,81,21865382,3,3530,1176,26914000,2372,790,8971333,1,CA,01.01.2000,software,6,24
2007,1,4,2140,1418,1,5684290,84,5684290,2,1196,299,6700000,722,361,3350000,1,NY,01.11.2007,music,8,9
2006,0,3,2584,485,0,43792954,35,45537131,8,778,259,129677153,2099,262,16209644,1,CA,01.01.2006,enterprise,3,25
2009,1,2,343,343,1,100000,100,100000,1,847,423,100000,0,0,100000,1,CA,01.09.2009,messaging,3,4
2003,0,1,2638,1625,1,3177411,53,3177411,2,0,0,5992316,1013,506,2996158,1,TX,01.01.2003,enterprise,2,5
2007,1,4,1341,153,1,7044732,44,7044732,3,1600,400,16000000,1188,396,5333333,1,CA,01.06.2007,web,5,24
2003,0,2,3115,2032,1,24957973,68,24957973,3,815,407,36300000,1083,361,12100000,0,CA,01.01.2003,automotive,1,3
2009,1,3,478,478,1,200000,100,200000,1,574,191,200000,0,0,200000,1,WA,16.11.2009,news,1,11
2006,0,2,1368,334,0,5579846,42,11830858,3,1570,785,28000000,1034,344,9333333,1,MA,01.01.2006,network_hosting,2,14
2006,0,4,455,0,1,2656968,85,2656968,2,1620,405,3100000,455,227,1550000,1,CA,01.01.2006,games_video,2,4
2001,1,1,3893,2879,0,7847867,78,33476802,3,0,0,42700000,1014,338,14233333,0,MI,01.01.2001,cleantech,3,2
2012,0,2,172,172,1,500000,100,500000,1,335,167,500000,0,0,500000,1,CA,01.01.2012,web,1,12
2004,0,2,1553,1252,0,7190749,74,20809251,2,152,76,28000000,301,150,14000000,1,MA,01.01.2004,other,2,13
2006,0,3,1680,678,1,6616558,44,6616558,4,917,305,14800000,1002,250,3700000,1,CA,01.06.2006,mobile,2,15
2005,0,3,434,434,1,1000000,100,1000000,1,2039,679,1000000,0,0,1000000,1,CA,24.05.2005,hardware,2,5
2010,0,2,348,82,0,128003,81,571997,2,178,89,700000,266,133,350000,0,CT,01.01.2010,web,1,2
2008,1,5,645,30,1,245969,43,245969,3,1718,343,560001,615,205,186667,1,NY,01.04.2008,software,3,6
2008,1,2,31,31,1,16700000,100,16700000,1,414,207,16700000,0,0,16700000,0,MA,01.01.2008,web,4,7
2004,0,1,1985,883,0,3675750,73,19240552,3,0,0,26100000,1102,367,8700000,1,CA,01.01.2004,semiconductor,3,2
1999,0,3,4777,3805,1,3796112,92,3796112,3,1366,455,4087500,972,324,1362500,0,CA,01.05.1999,enterprise,1,4
2008,1,3,1485,1485,1,3800000,100,3800000,1,661,220,3800000,0,0,3800000,1,CA,01.06.2008,photo_video,2,2
2006,0,2,1562,516,1,578246,64,578246,2,1407,703,889999,1046,523,444999,0,CA,01.01.2006,mobile,3,5
2000,0,3,2891,2251,1,74280650,74,74280650,3,1186,395,100000000,640,213,33333333,1,MD,01.01.2000,web,2,6
2009,1,2,1205,652,1,3138247,93,3138247,3,90,45,3352194,553,184,1117398,0,NC,01.01.2009,analytics,9,8
2009,1,1,903,151,0,8295709,53,16824358,3,0,0,31500000,752,250,10500000,1,CA,01.01.2009,enterprise,3,19
2006,0,1,605,360,1,3847972,51,3847972,2,0,0,7500000,245,122,3750000,0,CA,01.01.2006,games_video,1,1
2009,1,2,203,203,1,130000,100,130000,1,713,356,130000,0,0,130000,1,NY,10.08.2009,web,1,3
2009,1,2,1034,277,1,8779068,56,8779068,2,1123,561,15500000,757,378,7750000,1,CA,01.01.2009,software,1,12
2011,0,1,519,488,0,243237,76,771763,2,0,0,1015000,31,15,507500,1,CA,01.06.2011,enterprise,1,5
2010,0,1,304,304,1,12000,100,12000,1,0,0,12000,0,0,12000,0,WA,01.01.2010,games_video,1,3
2006,0,2,942,942,1,20000000,100,20000000,1,586,293,20000000,0,0,20000000,0,CA,01.01.2006,software,4,4
2006,0,2,412,412,1,5000000,100,5000000,1,612,306,5000000,0,0,5000000,1,CA,01.04.2006,web,1,7
2008,1,2,1252,857,0,4741318,84,25258682,2,601,300,30000000,395,197,15000000,0,CA,01.01.2008,software,2,4
2006,0,1,687,687,1,10000000,100,10000000,1,0,0,10000000,0,0,10000000,0,VA,01.01.2006,software,1,2
2004,0,1,2833,397,1,23429555,58,23429555,5,0,0,40000000,2436,487,8000000,1,CA,01.01.2004,mobile,4,9
2008,1,3,965,904,1,17887872,86,17887872,2,651,217,20750000,61,30,10375000,1,CA,01.01.2008,enterprise,2,8
2007,1,3,582,226,1,11098758,76,11098758,2,1216,405,14600000,356,178,7300000,0,CA,01.01.2007,software,2,8
2005,0,3,1907,124,1,37314328,76,37314328,4,1107,369,48730000,1783,445,12182500,1,MA,01.01.2005,software,3,5
2004,0,1,1462,1461,1,7672853,54,7672853,2,0,0,14000000,1,0,7000000,1,MA,01.01.2004,software,1,2
2000,0,1,3700,1346,1,26151387,96,26151387,4,0,0,27101994,2354,588,6775498,1,MA,01.01.2000,enterprise,4,2
2007,1,5,1768,79,1,47145710,67,47145710,5,2201,440,70000000,1689,337,14000000,0,CA,01.07.2007,enterprise,4,22
2006,0,4,809,809,1,1000000,100,1000000,1,974,243,1000000,0,0,1000000,0,CA,01.01.2006,mobile,1,5
2000,0,1,2403,2005,0,2359650,81,10640350,2,0,0,13000000,398,199,6500000,1,MD,01.01.2000,network_hosting,1,3
2007,1,5,1294,239,1,16544602,63,16544602,3,991,198,26000000,1055,351,8666666,1,CA,01.05.2007,messaging,3,27
2001,1,4,3328,1704,0,583769,60,22445630,3,1113,278,37000000,1624,541,12333333,0,CA,01.01.2001,software,1,33
2007,1,2,244,244,1,50000,100,50000,1,649,324,50000,0,0,50000,0,CA,01.12.2007,advertising,3,7
2003,0,3,1476,706,1,22590957,92,22590957,2,2988,996,24300000,770,385,12150000,1,CA,01.01.2003,web,2,2
2009,1,1,784,378,1,1017910,96,1017910,2,0,0,1050000,406,203,525000,0,IL,01.01.2009,web,1,2
2004,0,4,1615,547,1,32007647,45,32007647,4,2062,515,69750000,1068,267,17437500,1,CA,01.01.2004,games_video,5,15
2004,0,1,1399,1399,1,15000000,100,15000000,1,0,0,15000000,0,0,15000000,0,WA,01.01.2004,other,1,3
2001,1,3,1382,808,1,2623005,60,2623005,2,1975,658,4355000,574,287,2177500,1,TX,01.01.2001,software,1,8
2010,0,2,630,490,1,5593569,96,5593569,2,658,329,5800000,140,70,2900000,1,RI,01.07.2010,enterprise,4,8
2006,0,1,943,943,1,3000000,100,3000000,1,0,0,3000000,0,0,3000000,1,CA,01.01.2006,web,1,5
1999,0,1,3997,1016,1,9041228,47,9041228,3,0,0,19009671,2981,993,6336557,0,MA,01.12.1999,biotech,2,10
2010,0,2,91,91,1,20000,100,20000,1,284,142,20000,0,0,20000,0,CA,01.06.2010,web,1,1
2004,0,2,2272,1737,0,5933166,65,11066834,2,933,466,17000000,535,267,8500000,1,CA,01.01.2004,mobile,3,2
2005,0,1,1878,1878,1,2000000,100,2000000,1,0,0,2000000,0,0,2000000,1,MA,01.01.2005,web,1,4
2007,1,2,1430,61,1,12292519,83,12292519,2,1065,532,14700000,1369,684,7350000,1,NY,01.11.2007,software,4,8
2013,0,2,0,0,1,5675000,100,5675000,1,623,311,5675000,0,0,5675000,1,CA,05.02.2013,web,4,21
2005,0,3,480,480,1,15000000,100,15000000,1,867,289,15000000,0,0,15000000,1,CA,06.01.2005,web,1,30
2003,0,1,1155,1155,1,15000000,100,15000000,1,0,0,15000000,0,0,15000000,1,CA,01.01.2003,software,3,6
2008,1,4,1437,1218,1,1031490,56,1031490,3,2635,658,1820000,219,73,606666,1,CA,01.07.2008,mobile,1,5
2001,1,1,3284,1703,1,10331219,96,10331219,5,0,0,10700000,1581,316,2140000,1,CO,01.01.2001,software,2,12
2002,0,1,2873,1461,0,367886,96,9632114,2,0,0,10000000,1412,706,5000000,1,CA,01.01.2002,semiconductor,4,5
2010,0,2,638,638,1,575000,100,575000,1,405,202,575000,0,0,575000,1,NY,01.02.2010,web,6,4
2000,0,1,2816,2127,1,13804677,55,13804677,2,0,0,25000000,689,344,12500000,1,CA,01.01.2000,software,4,11
2005,0,3,2245,1508,1,1876986,85,1876986,2,197,65,2192000,737,368,1096000,0,IN,01.01.2005,public_relations,1,10
2011,0,1,417,270,0,976956,93,14723044,2,0,0,15700000,147,73,7850000,1,CA,01.01.2011,automotive,3,15
2010,0,2,646,386,1,99534,74,99534,3,30,15,132885,260,86,44295,0,IL,24.09.2010,games_video,1,6
2000,0,1,3285,2349,0,2712716,67,21466117,3,0,0,32000000,936,312,10666666,1,CA,01.01.2000,semiconductor,3,10
2004,0,5,2895,810,1,33260567,82,33260567,3,2709,541,40300000,2085,695,13433333,1,CA,01.01.2004,mobile,4,7
2011,0,1,243,243,1,20000,100,20000,1,0,0,20000,0,0,20000,0,CA,01.09.2011,messaging,1,2
2007,1,1,2220,165,1,7804652,51,7804652,3,0,0,15286415,2055,685,5095471,1,TN,01.01.2007,photo_video,1,2
2009,1,2,413,257,1,15923449,83,15923449,2,276,138,19000000,156,78,9500000,1,CA,01.01.2009,games_video,3,12
2005,0,3,908,335,1,15027109,67,15027109,3,1022,340,22400000,573,191,7466666,1,WA,01.12.2005,mobile,3,18
2012,0,2,252,0,0,8753,98,641247,2,252,126,650000,252,126,325000,0,IL,01.08.2012,ecommerce,1,6
2004,0,1,755,755,1,25000000,100,25000000,1,0,0,25000000,0,0,25000000,1,MA,01.01.2004,software,5,3
2010,0,2,901,475,0,744505,58,1055495,2,901,450,1800000,426,213,900000,0,NY,01.09.2010,education,5,3
1999,0,2,4514,2956,0,4629131,39,9529596,4,78,39,24200000,1558,389,6050000,0,MA,01.01.1999,software,2,11
2011,0,3,284,284,1,1500000,100,1500000,1,784,261,1500000,0,0,1500000,1,NY,01.01.2011,fashion,1,5
2006,0,3,90,0,1,115739,98,115739,2,1058,352,118000,90,45,59000,1,FL,01.01.2006,web,1,10
2001,1,1,2556,2556,1,3000000,100,3000000,1,0,0,3000000,0,0,3000000,1,OR,01.01.2001,hardware,3,3
2005,0,3,808,78,1,6239788,73,6239788,2,337,112,8500000,730,365,4250000,1,CA,15.07.2005,web,1,8
2007,1,2,1813,1367,0,24818976,64,44181024,2,57,28,69000000,446,223,34500000,1,CA,01.10.2007,software,3,10
2000,0,1,2648,2648,1,12000000,100,12000000,1,0,0,12000000,0,0,12000000,1,CA,01.01.2000,security,2,7
2009,1,3,733,469,0,1651103,71,4048897,2,468,156,5700000,264,132,2850000,1,CA,01.01.2009,enterprise,4,12
2002,0,5,1520,1520,0,7919250,67,16780750,2,2120,424,24700000,0,0,12350000,1,CA,01.01.2002,web,4,5
2005,0,3,1713,119,0,5446755,35,9027947,4,525,175,25200000,1594,398,6300000,1,CA,01.10.2005,software,4,13
2002,0,1,2465,1108,1,26535336,80,26535336,3,0,0,33000000,1357,452,11000000,0,CA,01.01.2002,advertising,4,2
2007,1,4,1516,726,0,4592372,77,18643407,3,861,215,24000000,790,263,8000000,1,CA,01.07.2007,software,3,10
2007,1,2,1382,610,1,5144494,46,5144494,3,371,185,11040000,772,257,3680000,1,CA,01.01.2007,software,2,11
2007,1,1,756,334,0,9548405,54,11451595,2,0,0,21000000,422,211,10500000,1,MA,01.01.2007,software,2,9
2007,1,2,2020,1071,0,2679053,72,6920947,2,832,416,9600000,949,474,4800000,1,WA,01.01.2007,enterprise,3,6
2000,0,2,3197,2055,1,104560984,85,104560984,5,93,46,122500000,1142,228,24500000,1,WA,01.01.2000,mobile,5,9
2011,0,3,132,132,1,100000,100,100000,1,61,20,100000,0,0,100000,0,CA,08.01.2011,ecommerce,1,9
1998,0,2,5122,2808,0,5852849,45,10942370,3,558,279,24150000,2314,771,8050000,0,MA,01.01.1998,software,2,3
2007,1,3,244,244,1,1300000,100,1300000,1,1638,546,1300000,0,0,1300000,0,CA,01.06.2007,web,1,1
2003,0,1,3424,741,0,17447637,56,28157322,4,0,0,49600000,2683,670,12400000,0,TX,01.01.2003,hardware,1,10
2005,0,2,999,212,0,3894004,57,5305996,2,1002,501,9200000,787,393,4600000,1,TX,01.02.2005,web,1,11
2006,0,2,1917,212,0,3427418,43,10105031,4,395,197,23350000,1705,426,5837500,1,CA,01.12.2006,games_video,3,11
2007,1,1,1160,460,0,1460372,68,3239628,2,0,0,4700000,700,350,2350000,1,IL,01.03.2007,security,1,6
2004,0,1,2951,1623,0,15424295,41,20467580,6,0,0,49008830,1328,221,8168138,0,CA,01.01.2004,biotech,1,4
2003,0,1,1127,1127,1,3100000,100,3100000,1,0,0,3100000,0,0,3100000,1,CA,01.01.2003,advertising,5,6
2004,0,1,1330,397,1,18439403,41,18439403,3,0,0,44000000,933,311,14666666,1,TX,01.01.2004,semiconductor,4,2
2005,0,4,883,883,1,7000000,100,7000000,1,2151,537,7000000,0,0,7000000,1,CA,01.07.2005,web,2,5
2004,0,2,2458,1132,0,3421718,49,7330326,3,997,498,14700000,1326,442,4900000,1,MA,01.01.2004,medical,1,3
2003,0,1,1546,846,0,3608091,65,6991909,2,0,0,10600000,700,350,5300000,0,VA,01.01.2003,mobile,3,2
2004,0,5,1730,822,1,35770822,91,35770822,3,707,141,39007789,908,302,13002596,1,NY,01.03.2004,enterprise,3,22
2005,0,2,2130,549,1,55717184,77,55717184,6,797,398,72000000,1581,263,12000000,1,CA,01.05.2005,advertising,2,25
2005,0,3,1764,1405,1,6405108,68,6405108,3,837,279,9400000,359,119,3133333,1,CA,01.06.2005,enterprise,1,18
2003,0,3,1303,1303,1,9400000,100,9400000,1,1278,426,9400000,0,0,9400000,1,WA,01.01.2003,network_hosting,1,2
2012,0,1,288,247,1,112716,90,112716,2,0,0,125000,41,20,62500,0,NJ,01.08.2012,analytics,1,2
2010,0,2,753,485,1,9328356,71,9328356,2,195,97,13000000,268,134,6500000,1,CA,01.01.2010,mobile,3,11
2009,1,3,546,282,1,9491138,90,9491138,3,1584,528,10500000,264,88,3500000,1,NY,01.10.2009,photo_video,6,14
2006,0,3,974,921,1,13442618,92,13442618,2,519,173,14500000,53,26,7250000,1,TX,01.01.2006,network_hosting,1,11
2010,0,4,374,153,0,698372,92,9101628,2,510,127,9800000,221,110,4900000,1,OR,01.08.2010,enterprise,4,10
2003,0,1,1743,882,0,6867728,54,8132272,2,0,0,15000000,861,430,7500000,0,MA,01.01.2003,software,2,2
2007,1,2,61,61,1,500000,100,500000,1,965,482,500000,0,0,500000,1,CA,01.06.2007,network_hosting,4,4
2000,0,1,3395,1430,0,6172429,74,18327571,2,0,0,24500000,1965,982,12250000,1,CA,01.01.2000,hardware,2,10
2007,1,2,681,681,1,2300000,100,2300000,1,680,340,2300000,0,0,2300000,0,CA,01.01.2007,cleantech,1,2
2006,0,3,1608,92,0,9363823,45,21825126,5,1269,423,48500000,1516,303,9700000,1,CA,01.11.2006,advertising,2,27
2006,0,3,1172,426,1,7165582,58,7165582,2,751,250,12300000,746,373,6150000,1,NY,01.04.2006,enterprise,1,16
2006,0,4,2380,1446,0,4070298,69,9179702,2,1135,283,13250000,934,467,6625000,1,CO,02.02.2006,advertising,2,4
2007,1,3,1380,61,0,264756,57,361340,2,833,277,626096,1319,659,313048,0,NY,01.11.2007,mobile,1,6
2002,0,1,1771,1771,1,4000000,100,4000000,1,0,0,4000000,0,0,4000000,1,CO,01.01.2002,security,5,5
2005,0,3,942,699,0,142547,96,3457453,2,1795,598,3600000,243,121,1800000,0,CA,01.01.2005,web,1,10
2003,0,3,1186,1186,1,14500000,100,14500000,1,1482,494,14500000,0,0,14500000,1,CA,01.01.2003,enterprise,9,19
2008,1,3,1541,308,0,3977365,43,10546857,3,1521,507,24030000,1233,411,8010000,1,CA,01.01.2008,advertising,3,18
2005,0,4,1236,0,1,26004677,91,26004677,5,1210,302,28300000,1236,247,5660000,1,CA,01.01.2005,web,2,17
2007,1,3,884,183,1,5272697,50,5272697,3,1119,373,10400001,701,233,3466667,1,TX,28.08.2007,web,6,21
2002,0,1,2029,1252,1,13930344,71,13930344,3,0,0,19500000,777,259,6500000,1,CA,01.01.2002,software,3,10
2006,0,4,898,212,0,9636711,44,12682455,3,946,236,28300000,686,228,9433333,1,MA,01.10.2006,advertising,1,17
2008,1,4,1353,262,1,10089580,45,10089580,3,1128,282,22100000,1091,363,7366666,1,CA,08.01.2008,analytics,2,11
2008,1,1,0,0,1,250000,100,250000,1,0,0,250000,0,0,250000,0,CA,01.09.2008,network_hosting,1,3
2006,0,3,608,546,0,501301,98,29648699,2,2746,915,30150000,62,31,15075000,0,CA,01.01.2006,advertising,1,2
2009,1,3,328,328,1,1420000,100,1420000,1,445,148,1420000,0,0,1420000,1,NY,01.01.2009,social,16,12
2005,0,1,1234,0,0,1023871,84,20172710,3,0,0,24000000,1234,411,8000000,1,CA,01.01.2005,network_hosting,2,5
2002,0,2,3268,1995,1,14589985,76,14589985,3,42,21,19000000,1273,424,6333333,1,TX,01.01.2002,enterprise,5,4
2010,0,2,293,293,1,5000000,100,5000000,1,515,257,5000000,0,0,5000000,0,CA,01.01.2010,web,1,5
2000,0,1,3343,2532,0,501737,52,6828978,3,0,0,13000000,811,270,4333333,1,CA,01.01.2000,mobile,3,6
2005,0,3,1027,585,1,7300638,66,7300638,2,1453,484,11000000,442,221,5500000,1,CA,23.02.2005,mobile,2,14
2009,1,2,771,608,1,3805031,62,3805031,2,455,227,6100000,163,81,3050000,1,NY,12.03.2009,social,1,23
2002,0,1,2604,1527,0,16354309,53,36289287,3,0,0,68400000,1077,359,22800000,1,CO,01.01.2002,network_hosting,6,8
2005,0,1,1498,1498,1,5500000,100,5500000,1,0,0,5500000,0,0,5500000,1,CA,01.02.2005,consulting,2,18
2007,1,3,927,0,1,1645529,65,1645529,3,786,262,2515000,927,309,838333,1,CA,01.06.2007,network_hosting,1,9
2000,0,1,3030,1979,0,8738060,65,42968272,3,0,0,65800000,1051,350,21933333,1,CA,01.01.2000,network_hosting,4,6
2004,0,2,1251,860,0,4140647,58,5759353,2,854,427,9900000,391,195,4950000,1,CA,01.01.2004,software,2,4
2007,1,4,917,212,1,1158872,81,1158872,3,1598,399,1415000,705,235,471666,1,CA,01.01.2007,social,1,9
2002,0,1,1940,1143,1,29971508,74,29971508,3,0,0,40000000,797,265,13333333,1,CA,01.01.2002,software,3,5
2003,0,2,2224,1394,1,10097214,50,10097214,2,280,140,19900000,830,415,9950000,1,DC,01.01.2003,software,2,3
2009,1,2,1412,1412,1,1226270,100,1226270,1,94,47,1226270,0,0,1226270,1,IL,01.01.2009,enterprise,1,7
2003,0,2,1851,1239,0,5239478,55,6486122,2,1099,549,11725600,612,306,5862800,1,CA,14.04.2003,mobile,2,3
1997,0,1,3560,3560,1,50000,100,50000,1,0,0,50000,0,0,50000,0,AR,01.01.1997,software,1,1
2006,0,2,1112,731,1,4668215,77,4668215,2,691,345,6000000,381,190,3000000,1,CA,01.08.2006,finance,2,9
2003,0,1,1116,365,0,971864,82,4578136,2,0,0,5550000,751,375,2775000,1,MN,01.01.2003,web,1,3
2010,0,2,967,476,0,551526,78,2583177,3,1342,671,3282327,491,163,1094109,1,CA,01.04.2010,analytics,2,4
2006,0,4,1449,150,0,4013116,51,12606113,4,553,138,24500000,1299,324,6125000,0,MA,01.09.2006,software,1,13
2006,0,1,2174,1600,1,31558200,57,31558200,2,0,0,55000000,574,287,27500000,0,IL,01.01.2006,biotech,4,5
