days_per_funding,average_milestone_duration_days,funding_duration_days,Status,amount_milestones,Fundingrounds,Fundingtotal,state,BusinessField,NumContributors,NumPartners
679,236,1358,Successful (Acquired),2,2,9500000,CA,ecommerce,2,6
572,732,1144,Failed,2,2,3500000,TX,enterprise,1,7
264,1584,792,Successful (Acquired),3,3,10500000,NY,photo_video,6,14
1335,444,10680,Successful (Acquired),4,8,68500000,CA,cleantech,2,14
1413,,7065,Successful (Acquired),,5,85381111,MA,biotech,4,2
640,1185,1920,Successful (Acquired),3,3,100000000,MD,web,2,6
912,334,1824,Failed,2,2,125000,PA,advertising,1,3
700,0,1400,Failed,1,2,10600000,VA,mobile,3,2
1102,0,3306,Successful (Acquired),1,3,26100000,CA,semiconductor,3,2
0,0,0,Successful (Acquired),1,1,30000000,NY,web,5,2
260,30,780,Failed,2,3,132885,IL,games_video,1,6
1323,1908,3969,Successful (Acquired),2,3,9500000,CA,software,2,9
0,0,0,Successful (Acquired),1,1,18000000,CA,network_hosting,7,9
0,0,0,Failed,1,1,690000,OH,web,3,4
307,,921,Successful (Acquired),,3,25131611,GA,mobile,1,1
0,,0,Failed,,1,2000000,CA,hardware,1,1
1848,760,5544,Successful (Acquired),2,3,78750000,MA,biotech,3,4
1516,1269,7580,Successful (Acquired),3,5,48500000,CA,advertising,2,27
0,1038,0,Failed,2,1,15000000,CA,network_hosting,1,12
1598,,7990,Successful (Acquired),,5,74000000,CA,analytics,5,13
578,0,1156,Successful (Acquired),1,2,15000000,CA,software,3,6
699,810,2097,Failed,3,3,45000000,NY,games_video,1,8
0,0,0,Successful (Acquired),1,1,4410000,CA,mobile,1,4
327,248,654,Successful (Acquired),2,2,4500000,VA,web,2,9
772,372,2316,Successful (Acquired),2,3,11040000,CA,software,2,11
0,592,0,Successful (Acquired),2,1,1600000,CA,games_video,3,6
167,0,334,Successful (Acquired),1,2,9000000,NY,software,4,3
491,1342,1473,Successful (Acquired),2,3,3282327,CA,analytics,2,4
0,2120,0,Successful (Acquired),5,2,24700000,CA,web,4,5
434,,868,Failed,,2,8800000,GA,semiconductor,1,2
0,0,0,Failed,1,1,1700000,CA,web,1,1
0,284,0,Failed,2,1,20000,CA,web,1,1
663,1225,1326,Successful (Acquired),5,2,11500000,CA,mobile,2,10
2598,2526,18186,Failed,3,7,98170000,CA,mobile,5,12
0,708,0,Successful (Acquired),3,1,1350000,CA,web,10,2
0,1414,0,Successful (Acquired),2,1,940261,IL,software,1,17
732,3,1464,Successful (Acquired),3,2,4000000,MA,web,3,12
0,0,0,Failed,1,1,5000000,CA,web,1,5
0,0,0,Failed,1,1,20000,VA,web,1,3
0,0,0,Successful (Acquired),1,1,12500000,WA,network_hosting,3,5
1210,6,6050,Failed,2,5,7228704,CO,finance,1,0
574,0,1148,Failed,1,2,55000000,IL,biotech,4,5
1661,,6644,Successful (Acquired),,4,15180000,CA,enterprise,1,5
395,602,790,Failed,2,2,30000000,CA,software,2,4
53,519,106,Successful (Acquired),3,2,14500000,TX,network_hosting,1,11
0,651,0,Successful (Acquired),3,1,6500000,CA,advertising,3,6
0,0,0,Failed,1,1,15000,TN,web,1,2
1050,918,5250,Successful (Acquired),3,5,4705910,NY,mobile,3,5
0,602,0,Successful (Acquired),2,1,3000000,CA,games_video,1,6
1523,1385,9138,Successful (Acquired),5,6,125250000,NY,web,3,30
1340,477,5360,Failed,3,4,1449998,NY,social,1,8
180,717,360,Successful (Acquired),3,2,6000000,MA,mobile,6,5
1522,,4566,Successful (Acquired),,3,28200000,MN,medical,3,7
632,0,1264,Successful (Acquired),1,2,14000000,CA,software,2,5
0,104,0,Failed,2,1,3000000,TX,enterprise,1,14
91,0,182,Failed,1,2,2238055,WA,enterprise,1,6
574,122,1148,Failed,2,2,5200000,CA,photo_video,1,5
0,960,0,Successful (Acquired),4,1,75000000,PA,ecommerce,1,4
1299,552,5196,Failed,4,4,24500000,MA,software,1,13
1166,,3498,Failed,,3,4476171,CA,advertising,2,3
701,1119,2103,Successful (Acquired),3,3,10400001,TX,web,6,21
1077,0,3231,Successful (Acquired),1,3,68400000,CO,network_hosting,6,8
622,,1244,Successful (Acquired),,2,15200000,CA,software,2,13
353,,706,Failed,,2,890000,NY,mobile,3,2
0,,0,Failed,,1,2600000,CA,mobile,1,0
0,94,0,Successful (Acquired),2,1,1226270,IL,enterprise,1,7
566,0,1132,Successful (Acquired),1,2,9000000,CA,web,1,5
1269,0,5076,Successful (Acquired),1,4,7210210,CA,enterprise,1,4
147,0,294,Successful (Acquired),1,2,15700000,CA,automotive,3,15
230,0,460,Successful (Acquired),1,2,15050000,MA,software,2,4
731,1076,1462,Successful (Acquired),2,2,3500000,CA,games_video,3,5
319,0,638,Failed,1,2,43000000,CA,software,1,2
685,830,1370,Successful (Acquired),2,2,57000000,CA,web,3,7
0,1236,0,Successful (Acquired),4,1,1300000,CA,web,4,8
1068,2064,4272,Successful (Acquired),4,4,69750000,CA,games_video,5,15
731,282,1462,Successful (Acquired),2,2,14500000,MA,advertising,2,16
547,,1094,Failed,,2,48000000,CA,hardware,6,2
708,,1416,Failed,,2,3508462,PA,medical,3,3
777,0,2331,Successful (Acquired),1,3,19500000,CA,software,3,10
0,210,0,Successful (Acquired),3,1,3750000,CA,mobile,9,5
0,,0,Failed,,1,45000000,IL,web,2,1
1732,1251,6928,Failed,3,4,32500000,NC,enterprise,2,8
2373,2875,4746,Successful (Acquired),5,2,4900000,PA,enterprise,1,4
333,357,666,Failed,3,2,12000000,CA,advertising,2,4
793,876,2379,Successful (Acquired),6,3,7175000,CA,web,2,12
120,1936,240,Failed,4,2,4700000,CA,web,1,3
0,,0,Failed,,1,120000,CA,public_relations,2,3
1291,448,3873,Successful (Acquired),2,3,10000000,CA,advertising,1,10
1956,,7824,Failed,,4,39000000,TX,semiconductor,3,0
653,,1306,Successful (Acquired),,2,16100000,MA,software,2,3
306,1032,612,Successful (Acquired),3,2,3300000,CA,advertising,2,4
0,192,0,Successful (Acquired),3,1,750000,CA,analytics,9,6
0,,0,Failed,,2,1000000,GA,software,2,0
0,,0,Failed,,1,7410000,NY,biotech,3,3
1283,,3849,Successful (Acquired),,3,52800000,CA,semiconductor,5,5
1624,1112,4872,Failed,4,3,37000000,CA,software,1,33
949,276,2847,Successful (Acquired),3,3,14229998,CA,web,3,14
626,740,1252,Successful (Acquired),2,2,3000000,CA,messaging,2,7
0,0,0,Successful (Acquired),1,1,20000000,NY,advertising,1,10
492,162,984,Successful (Acquired),3,2,2000000,RI,advertising,1,6
830,280,1660,Successful (Acquired),2,2,19900000,DC,software,2,3
0,0,0,Failed,1,1,1500000,CA,ecommerce,1,6
0,0,0,Failed,1,1,325000,CA,cleantech,4,4
0,198,0,Failed,2,1,3500000,CA,enterprise,1,16
870,952,3480,Failed,2,4,30000000,WA,network_hosting,2,7
0,,0,Successful (Acquired),,1,50000000,CA,biotech,6,1
0,172,0,Successful (Acquired),2,1,2000000,NY,ecommerce,3,5
1581,798,9486,Successful (Acquired),2,6,72000000,CA,advertising,2,25
1520,0,4560,Successful (Acquired),1,3,27690547,CA,cleantech,4,4
0,,0,Failed,,1,9000000,TX,semiconductor,4,32
382,366,764,Successful (Acquired),3,2,7500000,CA,enterprise,3,12
294,0,588,Successful (Acquired),1,2,10000000,TX,software,2,9
1912,0,7648,Successful (Acquired),1,4,5965000,CA,software,1,7
0,2872,0,Successful (Acquired),4,1,4000000,CA,mobile,1,9
0,0,0,Failed,1,1,5000000,MI,advertising,1,2
0,836,0,Successful (Acquired),2,1,11500000,CA,advertising,2,15
406,0,812,Failed,1,2,1050000,IL,web,1,2
68,724,136,Successful (Acquired),2,2,5500000,NY,web,2,13
731,820,2193,Successful (Acquired),4,3,5000000,PA,advertising,1,17
612,1104,1224,Failed,3,2,3700000,CA,enterprise,3,11
655,,1310,Failed,,2,7000000,CA,software,1,4
334,664,668,Failed,4,2,32000000,MA,network_hosting,3,14
1284,142,3852,Successful (Acquired),2,3,7900000,MA,advertising,2,8
2048,1698,10240,Successful (Acquired),3,5,80000000,CA,network_hosting,2,16
0,0,0,Failed,1,1,5000000,TX,mobile,1,1
798,1896,1596,Successful (Acquired),3,2,2100000,WA,security,1,5
1530,0,6120,Successful (Acquired),1,4,22250000,MD,enterprise,2,6
351,5978,702,Successful (Acquired),2,2,1975000,OR,enterprise,3,6
0,268,0,Successful (Acquired),2,1,1000000,NY,web,1,0
0,,0,Failed,,1,35000000,PA,cleantech,1,0
1549,710,10843,Successful (Acquired),5,7,88651133,NY,mobile,3,12
0,,0,Successful (Acquired),,1,26000000,MA,semiconductor,2,3
0,276,0,Failed,2,1,100000,CA,games_video,1,3
0,405,0,Successful (Acquired),3,1,5000000,CO,mobile,1,6
538,,1076,Failed,,2,7300000,GA,biotech,3,5
1542,2468,4626,Successful (Acquired),2,3,64080000,CA,biotech,4,8
140,658,280,Successful (Acquired),2,2,5800000,RI,enterprise,4,8
639,28,2556,Failed,2,4,89500000,CA,finance,1,6
1705,396,6820,Successful (Acquired),2,4,23350000,CA,games_video,3,11
831,,1662,Successful (Acquired),,2,13500000,MA,software,2,7
282,10,564,Successful (Acquired),2,2,24500000,MA,security,5,13
0,0,0,Failed,1,1,10000000,CA,public_relations,4,2
0,,0,Failed,,1,8500000,UT,other,1,3
0,,0,Failed,,1,6000000,TX,cleantech,1,0
0,0,0,Successful (Acquired),1,1,2000000,CA,software,2,3
301,406,602,Successful (Acquired),2,2,4100000,TX,enterprise,1,3
0,2324,0,Successful (Acquired),4,1,6200000,CA,search,2,5
543,0,1086,Successful (Acquired),1,2,12250000,CA,advertising,2,8
612,1100,1224,Successful (Acquired),2,2,11725600,CA,mobile,2,3
553,,1106,Failed,,2,16000000,MA,software,1,1
696,582,2088,Successful (Acquired),2,3,5056559,WA,mobile,1,10
0,744,0,Successful (Acquired),3,1,100000,CA,web,1,9
1691,1569,5073,Successful (Acquired),3,3,68200000,CA,hardware,4,11
1905,0,5715,Successful (Acquired),1,3,33000000,CA,enterprise,3,5
553,90,1659,Failed,2,3,3352194,NC,analytics,9,8
182,730,364,Successful (Acquired),2,2,2212000,NY,analytics,3,5
507,,2028,Successful (Acquired),,4,19800000,CA,biotech,5,1
98,22,196,Failed,2,2,4500000,CA,web,3,6
1,0,2,Successful (Acquired),1,2,14000000,MA,software,1,2
0,122,0,Failed,2,1,100000,FL,social,1,4
391,854,782,Successful (Acquired),2,2,9900000,CA,software,2,4
1848,288,5544,Successful (Acquired),2,3,7600000,CA,advertising,5,10
0,0,0,Failed,1,1,50000,CA,games_video,2,2
0,,0,Failed,,1,650000,CA,public_relations,1,3
661,114,1983,Failed,3,3,10500000,CA,mobile,2,8
0,336,0,Successful (Acquired),2,1,500000,CA,web,1,12
770,2988,1540,Successful (Acquired),3,2,24300000,CA,web,2,2
140,0,280,Failed,1,2,18000000,CA,hardware,1,6
1055,990,3165,Successful (Acquired),5,3,26000000,CA,messaging,3,27
1018,,2036,Failed,,2,9500000,CA,hardware,3,2
0,0,0,Successful (Acquired),1,1,16980999,MD,biotech,1,6
0,878,0,Failed,2,1,5000000,CA,games_video,3,2
0,,0,Failed,,1,350000,WA,hardware,1,3
1363,0,6815,Failed,1,5,13130000,MA,web,1,1
0,1030,0,Failed,2,1,20000000,WA,software,1,1
1020,1800,3060,Successful (Acquired),4,3,26500000,MA,mobile,2,18
148,,296,Successful (Acquired),,2,15000000,MA,enterprise,5,4
0,,0,Failed,,1,2600000,MD,public_relations,1,0
1327,,5308,Failed,,4,21470000,CA,cleantech,1,1
0,216,0,Failed,2,1,20000,TX,mobile,1,5
243,1794,486,Failed,3,2,3600000,CA,web,1,10
2343,144,16401,Successful (Acquired),4,7,27300000,NY,games_video,2,23
0,0,0,Successful (Acquired),1,1,2600000,CA,ecommerce,2,8
0,516,0,Failed,2,1,5000000,CA,web,1,5
535,934,1070,Successful (Acquired),2,2,17000000,CA,mobile,3,2
0,,0,Failed,,1,662000,ME,manufacturing,3,0
374,266,748,Successful (Acquired),2,2,3750000,NY,hospitality,4,12
2110,1424,8440,Successful (Acquired),8,4,45000000,CA,news,4,57
722,1196,1444,Successful (Acquired),4,2,6700000,NY,music,8,9
1352,904,4056,Successful (Acquired),2,3,20750000,CA,hardware,2,12
2315,,9260,Successful (Acquired),,4,19000000,CA,games_video,2,5
396,,1188,Successful (Acquired),,3,22500000,CA,search,4,20
947,555,2841,Successful (Acquired),3,3,7300000,CA,advertising,2,10
2583,579,18081,Failed,3,7,26390819,WA,web,1,16
0,,0,Successful (Acquired),,1,10000000,WA,software,3,4
0,0,0,Failed,1,1,31000,NY,web,2,1
358,1604,1074,Successful (Acquired),4,3,21500000,CA,mobile,3,16
0,0,0,Successful (Acquired),1,1,4000000,CO,security,5,5
1169,380,3507,Successful (Acquired),4,3,9400000,CA,games_video,4,5
762,1140,2286,Successful (Acquired),4,3,5600000,NY,web,2,9
381,692,762,Successful (Acquired),2,2,6000000,CA,finance,2,9
2917,645,11668,Successful (Acquired),3,4,60704370,GA,transportation,2,35
846,214,2538,Successful (Acquired),2,3,2000000,CA,sports,3,16
91,423,182,Successful (Acquired),3,2,1000000,CA,finance,5,5
102,222,204,Failed,2,2,200000,PA,games_video,2,3
0,680,0,Failed,2,1,2300000,CA,cleantech,1,2
0,976,0,Failed,4,1,1000000,CA,mobile,1,5
1795,750,8975,Successful (Acquired),3,5,24750000,CA,music,2,13
1402,0,2804,Failed,1,2,12800000,IL,software,2,15
853,0,1706,Successful (Acquired),1,2,30500000,CA,enterprise,4,10
1083,816,3249,Failed,2,3,36300000,CA,automotive,1,3
333,615,999,Successful (Acquired),3,3,6693782,CA,real_estate,1,7
0,,0,Failed,,1,20000000,CA,hardware,5,1
0,708,0,Successful (Acquired),3,1,11370000,CA,network_hosting,2,8
749,924,2247,Successful (Acquired),4,3,16500000,CA,web,1,13
0,0,0,Failed,1,1,250000,CA,network_hosting,1,3
1041,1390,5205,Successful (Acquired),5,5,14400000,NY,web,5,9
1444,141,7220,Successful (Acquired),3,5,90000000,NY,enterprise,3,24
2240,906,8960,Successful (Acquired),2,4,13075000,CA,advertising,4,10
31,2288,62,Successful (Acquired),4,2,26000000,CA,games_video,2,10
193,548,386,Successful (Acquired),2,2,16300000,MA,enterprise,2,6
1013,0,2026,Successful (Acquired),1,2,5992316,TX,enterprise,2,5
713,,2852,Successful (Acquired),,4,89400001,CA,biotech,4,2
0,0,0,Failed,1,1,1200000,CA,software,1,4
71,650,142,Failed,2,2,1900000,NY,web,2,7
1114,1598,3342,Failed,2,3,30300000,CA,games_video,4,9
0,,0,Failed,,1,500000,NY,web,5,4
2543,340,12715,Successful (Acquired),2,5,74000000,CA,network_hosting,1,19
0,,0,Successful (Acquired),,1,18800000,TX,semiconductor,7,3
0,0,0,Failed,1,1,20000,MI,web,1,3
736,244,2944,Successful (Acquired),2,4,3350000,VA,mobile,1,3
0,,0,Successful (Acquired),,1,26100000,NJ,biotech,2,1
403,,806,Failed,,2,1213066,PA,enterprise,1,0
1233,1521,3699,Successful (Acquired),3,3,24030000,CA,advertising,3,18
1068,1450,3204,Successful (Acquired),5,3,13100000,CA,travel,1,14
615,1720,1845,Successful (Acquired),5,3,560001,NY,software,3,6
0,468,0,Successful (Acquired),3,1,3500000,MN,enterprise,2,7
2680,573,18760,Successful (Acquired),3,7,121500000,MA,mobile,4,45
1048,0,4192,Successful (Acquired),1,4,42500000,CA,mobile,2,18
358,0,716,Successful (Acquired),1,2,36000000,NC,software,3,26
0,936,0,Failed,2,1,12170000,CA,enterprise,1,7
0,668,0,Successful (Acquired),2,1,1000000,NY,software,3,4
219,2636,657,Successful (Acquired),4,3,1820000,CA,mobile,1,5
1758,1650,7032,Successful (Acquired),2,4,5700000000,WA,mobile,4,19
0,4338,0,Successful (Acquired),2,1,5000000,TX,security,5,6
207,0,414,Successful (Acquired),1,2,18800000,NY,fashion,2,4
368,,736,Successful (Acquired),,2,72300000,CA,advertising,4,3
1198,2372,3594,Successful (Acquired),4,3,1310000,CA,social,1,3
861,0,1722,Failed,1,2,15000000,MA,software,2,2
908,705,2724,Successful (Acquired),5,3,39007789,NY,enterprise,3,22
0,0,0,Successful (Acquired),1,1,25000000,MA,software,5,3
644,520,1932,Successful (Acquired),2,3,172500,MA,web,1,4
163,456,326,Successful (Acquired),2,2,6100000,NY,social,1,23
2085,2710,6255,Successful (Acquired),5,3,40300000,CA,mobile,4,7
0,60,0,Failed,3,1,100000,CA,ecommerce,1,9
1882,1036,9410,Successful (Acquired),2,5,19389998,WA,education,1,14
853,2322,1706,Successful (Acquired),3,2,61500000,CA,hardware,4,21
0,626,0,Successful (Acquired),2,1,6000000,CA,software,2,6
1828,882,7312,Successful (Acquired),6,4,19100000,MA,mobile,2,23
669,1416,2676,Successful (Acquired),3,4,3499997,NY,advertising,1,8
227,138,681,Successful (Acquired),2,3,2600000,CA,network_hosting,3,13
582,252,1746,Successful (Acquired),2,3,2023000,CA,web,1,14
0,,0,Successful (Acquired),,1,25000000,CA,semiconductor,4,3
1049,432,4196,Successful (Acquired),4,4,66000000,CA,fashion,2,17
10,0,20,Successful (Acquired),1,2,1000000,NY,advertising,3,5
268,196,536,Successful (Acquired),2,2,13000000,CA,mobile,3,11
2314,558,6942,Failed,2,3,24150000,MA,software,2,3
869,,2607,Failed,,3,47218498,CA,semiconductor,1,4
278,2890,556,Successful (Acquired),2,2,11800000,MA,search,4,1
212,0,424,Failed,1,2,2387481,NV,analytics,1,2
2464,730,9856,Successful (Acquired),5,4,33000000,MA,consulting,2,35
442,1212,884,Successful (Acquired),3,2,7500000,VA,software,1,4
0,0,0,Successful (Acquired),1,1,25000000,CA,biotech,1,3
1915,0,7660,Successful (Acquired),1,4,25305000,CA,software,2,7
388,561,776,Successful (Acquired),3,2,4950000,CA,web,12,21
1499,,8994,Successful (Acquired),,6,53816776,CA,software,5,8
395,2084,790,Successful (Acquired),4,2,3500000,NY,web,5,15
0,472,0,Successful (Acquired),2,1,5000000,CA,enterprise,1,7
927,786,2781,Successful (Acquired),3,3,2515000,CA,network_hosting,1,9
516,912,1032,Successful (Acquired),3,2,8400000,MA,web,2,10
518,945,1036,Failed,3,2,4900000,CA,mobile,1,5
0,0,0,Failed,1,1,5000000,WA,software,5,3
0,,0,Successful (Acquired),,1,11000000,NY,public_relations,3,2
2647,,10588,Successful (Acquired),,4,68400000,CA,mobile,4,6
435,378,870,Successful (Acquired),2,2,2000000,CA,software,8,7
459,0,918,Failed,1,2,10800000,NY,enterprise,1,2
1918,630,9590,Successful (Acquired),3,5,37000000,NY,news,2,31
0,2148,0,Successful (Acquired),3,1,7660000,CA,security,6,5
1783,1107,7132,Successful (Acquired),3,4,48730000,MA,software,3,5
516,0,1032,Failed,1,2,3350000,CA,messaging,2,1
1212,1654,4848,Failed,2,4,28000000,CA,ecommerce,1,3
0,0,0,Successful (Acquired),1,1,2500000,TX,analytics,2,5
304,2656,608,Successful (Acquired),4,2,8000000,IL,web,4,16
390,1326,780,Successful (Acquired),2,2,540000,NY,web,2,6
455,1620,910,Successful (Acquired),4,2,3100000,CA,games_video,2,4
451,680,902,Successful (Acquired),2,2,1200000,NY,mobile,6,8
0,0,0,Failed,1,1,5000000,NY,games_video,2,2
2449,0,14694,Successful (Acquired),1,6,37079000,CA,security,3,6
2496,2,9984,Successful (Acquired),2,4,135826373,MA,other,4,3
206,,412,Failed,,2,5000000,CA,mobile,1,5
320,909,1280,Successful (Acquired),3,4,4200000,NY,software,3,3
0,3138,0,Failed,3,1,4100000,WA,web,1,3
0,306,0,Failed,2,1,2000000,CA,web,1,3
0,0,0,Successful (Acquired),1,1,6500000,CO,software,1,3
0,,0,Failed,,1,4000000,CA,web,3,0
275,0,1375,Failed,1,5,185000,CA,mobile,2,3
0,286,0,Successful (Acquired),2,1,1300000,OR,mobile,1,5
0,,0,Successful (Acquired),,1,45000000,NY,advertising,1,21
0,984,0,Successful (Acquired),3,1,2500000,MA,search,2,4
